input,target
ONCCF,N-(2-fluoroethyl)hydroxylamine
NC#SN,(amino-λ4-sulfanylidyne)methanamine
NCCSO,2-hydroxysulfanylethanamine
CPCCN,2-methylphosphanylethanamine
OCP=S,thiophosphorosomethanol
C=COP,ethenoxyphosphane
COSOS,sulfanyloxysulfanyloxymethane
C=CPC,ethenyl(methyl)phosphane
CCOPO,ethoxyphosphinous acid
CPC#N,methylphosphanylformonitrile
CCSPC,ethylsulfanyl(methyl)phosphane
CPCPC,methyl(methylphosphanylmethyl)phosphane
CPCCP,methyl(2-phosphanylethyl)phosphane
C1PP1,diphosphirane
C1NP1,azaphosphiridine
C#CPC,ethynyl(methyl)phosphane
CCSCS,ethylsulfanylmethanethiol
CNCCI,2-iodo-N-methylethanamine
COCNN,methoxymethylhydrazine
O=NCP,nitrosomethylphosphane
FCOCS,fluoromethoxymethanethiol
CON=S,thionitrosooxymethane
C#CPP,ethynyl(phosphanyl)phosphane
FCPCl,chloro(fluoromethyl)phosphane
B1CC1,borirane
OOOCF,fluoro(trioxidanyl)methane
C=BBr,bromo(methylidene)borane
C=BCl,chloro(methylidene)borane
CN[O],N-λ1-oxidanylmethanamine
ON=CF,N-hydroxymethanimidoyl fluoride
COP=N,imino(methoxy)phosphane
CC#SC,ethylidyne(methyl)-λ4-sulfane
BNC#N,boranylcyanamide
N#CBF,fluoroboranylformonitrile
CSSPI,iodo-(methyldisulfanyl)phosphane
C=PSI,methylidenephosphanyl thiohypoiodite
CSPCS,methylsulfanylphosphanylmethanethiol
CNPCP,N-(phosphanylmethylphosphanyl)methanamine
CCPCP,ethyl(phosphanylmethyl)phosphane
CCPOS,ethyl(sulfanyloxy)phosphane
OCSCS,sulfanylmethylsulfanylmethanol
ClOCI,iodomethyl hypochlorite
CCOSP,ethoxysulfanylphosphane
COPOP,methoxy(phosphanyloxy)phosphane
CCCPS,propylphosphinothious acid
CCOSS,disulfanyloxyethane
CNCNI,"""N-iodo-N-methylmethanediamine"""
CB=CI,iodomethylidene(methyl)borane
CCPSC,ethyl(methylsulfanyl)phosphane
NCCSI,2-aminoethyl thiohypoiodite
OCNCI,(iodomethylamino)methanol
FPCCP,fluoro(2-phosphanylethyl)phosphane
C=CSI,ethenyl thiohypoiodite
CNONI,N-(iodoamino)oxymethanamine
CCSPI,ethylsulfanyl(iodo)phosphane
COSCS,methoxysulfanylmethanethiol
COPSC,methoxy(methylsulfanyl)phosphane
SCCOI,2-sulfanylethyl hypoiodite
SSCSS,bis(disulfanyl)methane
