input, target
C/C=C\[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C, (8S,11R,13S,14S,17S)-11-[4-(dimethylamino)phenyl]-17-hydroxy-13-methyl-17-[(Z)-prop-1-enyl]-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one
CCOc1ccccc1NC(=O)C(Sc1cccc(NC(=O)/C(=C\c2cc(OC)ccc2OC)NC(=O)c2ccccc2)c1)c1ccccc1, N-[(E)-1-(2,5-dimethoxyphenyl)-3-[3-[2-(2-ethoxyanilino)-2-oxo-1-phenylethyl]sulfanylanilino]-3-oxoprop-1-en-2-yl]benzamide
CCn1cc(/C=C2\C[C@@H]3[C@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@@H]4CC[C@]3(C)C2=O)cn1, (3S,5S,8S,9R,10S,13S,14R,16E)-16-[(1-ethylpyrazol-4-yl)methylidene]-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15-dodecahydro-1H-cyclopenta[a]phenanthren-17-one
CC(C)N(C[C@H]1CCN(C(=O)[C@@H](C)NC(=O)OC(C)(C)C)C1)c1ncc(B2OC(C)(C)C(C)(C)O2)cn1, tert-butyl N-[(2R)-1-oxo-1-[(3R)-3-[[propan-2-yl-[5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyrimidin-2-yl]amino]methyl]pyrrolidin-1-yl]propan-2-yl]carbamate
CC(C)(C)c1ccc(-c2cnc(-c3ccc(CC(NC(=O)c4ccc(C(C)(C)C)s4)C(=O)NCC(=O)O)cc3)nc2)cc1, 2-[[3-[4-[5-(4-tert-butylphenyl)pyrimidin-2-yl]phenyl]-2-[(5-tert-butylthiophene-2-carbonyl)amino]propanoyl]amino]acetic acid
C=C(Oc1cccc([C@H](C)N(C)C)c1)N1CC[C@@H](C2C=CC(F)=CC2)[C@H](CCc2ccc3c(c2)OCO3)C1, (1S)-1-[3-[1-[(3S,4S)-3-[2-(1,3-benzodioxol-5-yl)ethyl]-4-(4-fluorocyclohexa-2,4-dien-1-yl)piperidin-1-yl]ethenoxy]phenyl]-N,N-dimethylethanamine
CNC(=O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)CN(c1cccc(C)c1C)S(=O)(=O)c1ccc(C)cc1, (2S)-2-[(3-bromophenyl)methyl-[2-(2,3-dimethyl-N-(4-methylphenyl)sulfonylanilino)acetyl]amino]-N-methyl-3-phenylpropanamide
COc1ccc2c(c1)cc([C@@H]1CC(=O)Oc3c(O)c(O)c4c(=O)cc(-c5ccccc5)oc4c31)c(=O)n2CC(C)C, (10R)-5,6-dihydroxy-10-[6-methoxy-1-(2-methylpropyl)-2-oxoquinolin-3-yl]-2-phenyl-9,10-dihydropyrano[2,3-h]chromene-4,8-dione
C/C1=C/[C@H]2OC(=O)C(CN3CCN(C)CC3)[C@@H]2[C@H](OC(=O)C(C)C)C[C@@](C)(O)/C=C/C1=O, [(3aR,4R,6R,7E,10Z,11aR)-6-hydroxy-6,10-dimethyl-3-[(4-methylpiperazin-1-yl)methyl]-2,9-dioxo-3a,4,5,11a-tetrahydro-3H-cyclodeca[b]furan-4-yl] 2-methylpropanoate
C=C=C1C=CC(C2CC2)=NN1C(C#Cc1ccnc(NC(=O)Nc2ccc(CN3CCN(CC)CC3)c(C(F)(F)F)c2)c1)=CC, 1-[4-[3-(3-cyclopropyl-6-ethenylidenepyridazin-1-yl)pent-3-en-1-ynyl]pyridin-2-yl]-3-[4-[(4-ethylpiperazin-1-yl)methyl]-3-(trifluoromethyl)phenyl]urea
