input, target
CSc1ccc(S(=O)(=O)N(CC(=O)N/N=C\c2cc(C)n(-c3cc(Cl)ccc3Cl)c2C)c2ccc(C)cc2)cc1, N-[(Z)-[1-(2,5-dichlorophenyl)-2,5-dimethylpyrrol-3-yl]methylideneamino]-2-(4-methyl-N-(4-methylsulfanylphenyl)sulfonylanilino)acetamide
CSCCO[C@H]1OC(C(=O)O)[C@H](O)[C@H](O[C@H]2OC(C(=O)O)[C@H](O)[C@H](O)C2O)C1O, (3R,4S,6S)-6-[(3R,4S,6S)-2-carboxy-3,5-dihydroxy-6-(2-methylsulfanylethoxy)oxan-4-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid
CC[C@H](C)NC(=O)[C@H](C)N(Cc1cccc(Cl)c1)C(=O)CN(c1ccc(OC)c(Cl)c1)S(C)(=O)=O, (2S)-N-[(2S)-butan-2-yl]-2-[[2-(3-chloro-4-methoxy-N-methylsulfonylanilino)acetyl]-[(3-chlorophenyl)methyl]amino]propanamide
Cc1oc([C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)NC2CCCCC2)nc1C(=O)O, 2-[(1R)-1-[[(2S)-2-(cyclohexylcarbamoylamino)-4-methylpentanoyl]amino]-2-(1H-indol-3-yl)ethyl]-5-methyl-1,3-oxazole-4-carboxylic acid
Cc1cc(C2=C(C(=O)O)c3cc(F)c(OC(F)F)cc3CCC2C(C)C2CC2)ccc1CCCS(=O)(=O)C(C)(C)C, 6-[4-(3-tert-butylsulfonylpropyl)-3-methylphenyl]-7-(1-cyclopropylethyl)-2-(difluoromethoxy)-3-fluoro-8,9-dihydro-7H-benzo[7]annulene-5-carboxylic acid
CCC(C)C(NC(=O)C(CCSC)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O, 2-[[2-[[2-[[2-amino-3-(1H-indol-3-yl)propanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-4-methylsulfanylbutanoyl]amino]-3-methylpentanoic acid
C[C@@H](COS(C)(=O)=O)C[C@@H](C(=O)OC(C)(C)C)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C, tert-butyl (2S,4R)-2-[bis[(2-methylpropan-2-yl)oxycarbonyl]amino]-4-methyl-5-methylsulfonyloxypentanoate
COC(=O)C[C@@H](c1ccc(OC)c(O)c1)c1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc12, methyl (3S)-3-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4-oxochromen-8-yl]-3-(3-hydroxy-4-methoxyphenyl)propanoate
CCCOc1ccc(C(=O)N2C[C@@H](C)N(C(=O)N[C@@H](CC(C)C)C(=O)OC)Cc3ccccc32)c(Cl)c1, methyl (2S)-2-[[(3R)-1-(2-chloro-4-propoxybenzoyl)-3-methyl-3,5-dihydro-2H-1,4-benzodiazepine-4-carbonyl]amino]-4-methylpentanoate
CC[C@H](CC(C)(CC)OP(=O)(O)C(O)(CC)CC)[C@H]1OC(C)(C)O[C@H]1n1ccc(=O)[nH]c1=O, [(5R)-5-[(4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-2,2-dimethyl-1,3-dioxolan-4-yl]-3-methylheptan-3-yl]oxy-(3-hydroxypentan-3-yl)phosphinic acid
CCC(C)C(NC(=O)OC(C)(C)C)C(=O)N(C(C(=O)Nc1ccc2ccccc2c1)c1cccc(O)c1)C(C)(C)CC, tert-butyl N-[1-[[1-(3-hydroxyphenyl)-2-(naphthalen-2-ylamino)-2-oxoethyl]-(2-methylbutan-2-yl)amino]-3-methyl-1-oxopentan-2-yl]carbamate
CCC1(CCOCC(=O)OC(C)(C)C)CCC(C)(c2cccc(Oc3cccc(O[Si](C)(C)C(C)(C)C)c3)c2)OC1, tert-butyl 2-[2-[6-[3-[3-[tert-butyl(dimethyl)silyl]oxyphenoxy]phenyl]-3-ethyl-6-methyloxan-3-yl]ethoxy]acetate
CCC(C)C(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CCCN=C(N)N)NC(=O)C(N)Cc1cnc[nH]1)C(=O)O, 2-[[2-[[2-[[2-amino-3-(1H-imidazol-5-yl)propanoyl]amino]-5-(diaminomethylideneamino)pentanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-3-methylpentanoic acid
Cc1cc(C)cc([C@@H]2CCCC[C@H]2Oc2cccc(O[C@@H]3CCCC[C@H]3c3cc(C)cc(C)c3)c2O)c1, 2,6-bis[[(1R,2S)-2-(3,5-dimethylphenyl)cyclohexyl]oxy]phenol
CC[C@@H](C(=O)NC(C)(C)C)N(Cc1cccc(C)c1)C(=O)CN(c1ccccc1Cl)S(=O)(=O)c1ccccc1, (2S)-2-[[2-[N-(benzenesulfonyl)-2-chloroanilino]acetyl]-[(3-methylphenyl)methyl]amino]-N-tert-butylbutanamide
COc1cccc(OC)c1-n1c(NS(=O)(=O)[C@@H](C)[C@H](O)c2ccc(F)cc2CO)nnc1-c1ccc(C)o1, (1R,2S)-N-[4-(2,6-dimethoxyphenyl)-5-(5-methylfuran-2-yl)-1,2,4-triazol-3-yl]-1-[4-fluoro-2-(hydroxymethyl)phenyl]-1-hydroxypropane-2-sulfonamide
Cc1ccc(-n2cc(-c3ccccc3)nc2NC(=O)CN(C[C@@H]2CCCO2)S(=O)(=O)c2ccc(Cl)cc2)cc1F, 2-[(4-chlorophenyl)sulfonyl-[[(2S)-oxolan-2-yl]methyl]amino]-N-[1-(3-fluoro-4-methylphenyl)-4-phenylimidazol-2-yl]acetamide
O=C(c1ccc(Cl)c([N+](=O)[O-])c1)N1N=C2/C(=C/c3ccc(Cl)cc3)CCCC2C1c1ccc(Cl)cc1, (4-chloro-3-nitrophenyl)-[(7E)-3-(4-chlorophenyl)-7-[(4-chlorophenyl)methylidene]-3a,4,5,6-tetrahydro-3H-indazol-2-yl]methanone
C=C(C)C1CCC2(CO)CCC3(CC)C(CCC4C5(C)CC=C(c6csc(C(=O)O)c6)C(C)(C)C5CCC43C)C12, 4-[5a-ethyl-3a-(hydroxymethyl)-5b,8,8,11a-tetramethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,11,11b,12,13,13a,13b-tetradecahydrocyclopenta[a]chrysen-9-yl]thiophene-2-carboxylic acid
CC(C)CN1C(=O)c2ccccc2[C@@H](C(=O)Nc2ccc(S(=O)(=O)N3CCCCC3)cc2)[C@H]1c1cccs1, (3S,4R)-2-(2-methylpropyl)-1-oxo-N-(4-piperidin-1-ylsulfonylphenyl)-3-thiophen-2-yl-3,4-dihydroisoquinoline-4-carboxamide
C=C(CCCC1C2CC(COC(=O)CCCCCN3C(=O)C=CC3=O)C(C2)C1CC)C(=O)CCCCCN1C(=O)C=CC1=O, [5-[10-(2,5-dioxopyrrol-1-yl)-4-methylidene-5-oxodecyl]-6-ethyl-2-bicyclo[2.2.1]heptanyl]methyl 6-(2,5-dioxopyrrol-1-yl)hexanoate
Cc1ccc(C(C(=O)Nc2c(C)cccc2Cl)N(C)C(=O)C(Cc2ccc(O)cc2)NC(=O)OC(C)(C)C)c(C)c1, tert-butyl N-[1-[[2-(2-chloro-6-methylanilino)-1-(2,4-dimethylphenyl)-2-oxoethyl]-methylamino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]carbamate
NC(=O)CCC(N)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)O, 2-[[2-[[5-(diaminomethylideneamino)-2-[(2,5-diamino-5-oxopentanoyl)amino]pentanoyl]amino]-3-phenylpropanoyl]amino]-3-(1H-imidazol-5-yl)propanoic acid
Cc1ccc(C)c(NS(=O)(=O)c2ccc(NC(=O)c3ccc(N(C)S(=O)(=O)c4ccc(Cl)cc4)cc3)cc2)c1, 4-[(4-chlorophenyl)sulfonyl-methylamino]-N-[4-[(2,5-dimethylphenyl)sulfamoyl]phenyl]benzamide
CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(C)n(-c4ccc(C(=O)OCC)cc4)c3C)c(=O)n2C1c1cccs1, ethyl (2Z)-2-[[1-(4-ethoxycarbonylphenyl)-2,5-dimethylpyrrol-3-yl]methylidene]-7-methyl-3-oxo-5-thiophen-2-yl-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate
