input,target
ONCCCCF,N-(4-fluorobutyl)hydroxylamine
NCCOCCF,2-(2-fluoroethoxy)ethanamine
NCCCN=O,3-nitrosopropan-1-amine
OCCNCCF,2-(2-fluoroethylamino)ethanol
CNC(O)O,methylaminomethanediol
COC(N)N,methoxymethanediamine
NCCPCCN,2-(2-aminoethylphosphanyl)ethanamine
NC1=NO1,oxaziren-3-amine
NOCCCCl,O-(3-chloropropyl)hydroxylamine
CN=NCNC,N-methyl-1-(methyldiazenyl)methanamine
CCSSCCl,(chloromethyldisulfanyl)ethane
FCSCCCl,1-chloro-2-(fluoromethylsulfanyl)ethane
NCCCSCO,3-aminopropylsulfanylmethanol
[BH3-]F,fluoroboranuide
CC=NCNC,1-(ethylideneamino)-N-methylmethanamine
CNNC=NN,"""N-amino-N-(methylamino)methanimidamide"""
CN1C=N1,1-methyldiazirine
NCC[B]O,2-aminoethyl(hydroxy)boron
CN=CCCP,N-methyl-3-phosphanylpropan-1-imine
O=C=NOS,oxo(sulfanyloxyimino)methane
CCOSCOC,methoxymethylsulfanyloxyethane
NC(O)OO,amino(hydroperoxy)methanol
C=NCCSC,N-(2-methylsulfanylethyl)methanimine
PPC=CPP,2-(diphosphanyl)ethenyl-phosphanylphosphane
CN=CNSC,"""N-methyl-N-methylsulfanylmethanimidamide"""
CCSNCCO,2-(ethylsulfanylamino)ethanol
C#COCCN,2-ethynoxyethanamine
CP(C)CN,dimethylphosphanylmethanamine
CSOCCCO,3-methylsulfanyloxypropan-1-ol
CSCC=CF,1-fluoro-3-methylsulfanylprop-1-ene
CSC=CCS,3-methylsulfanylprop-2-ene-1-thiol
CNSNC=S,N-(methylaminosulfanyl)methanethioamide
CCNNOCC,1-ethoxy-2-ethylhydrazine
C#CCNCO,(prop-2-ynylamino)methanol
NNC1CO1,oxiran-2-ylhydrazine
CSOCCCF,1-fluoro-3-methylsulfanyloxypropane
CSOCOCS,methylsulfanyloxymethoxymethanethiol
CP(O)CO,hydroxymethyl(methyl)phosphinous acid
NOCOCOO,O-(hydroperoxymethoxymethyl)hydroxylamine
CO[NH-],methoxyazanide
CC1CC1S,2-methylcyclopropane-1-thiol
CCC=NCO,(propylideneamino)methanol
C=NSCCC,N-propylsulfanylmethanimine
NN1CCN1,diazetidin-1-amine
CC=PCNC,1-ethylidenephosphanyl-N-methylmethanamine
CN1SC1S,2-methylthiaziridine-3-thiol
