input, target
CC(C)[C@H]1CC[C@H]2[C@]3(C)CC[C@@]4(C)[C@@H]5CCCC(C)(C)C5=CC[C@@H]4[C@@]3(C)CC[C@]12C, (3R,3aR,5aR,5bS,11aS,11bR,13aS,13bR)-3a,5a,8,8,11b,13a-hexamethyl-3-propan-2-yl-1,2,3,4,5,5b,6,9,10,11,11a,12,13,13b-tetradecahydrocyclopenta[a]chrysene
CCC(=O)O[C@@H](C)[C@H](C)OC(=O)[C@@H](N)Cc1ccc(OC(=O)OCC(C)(C)C)c(OC(=O)OCC(C)(C)C)c1, [(2S,3S)-3-propanoyloxybutan-2-yl] (2S)-2-amino-3-[3,4-bis(2,2-dimethylpropoxycarbonyloxy)phenyl]propanoate
O=S(=O)([O-])CCCCCCP(CCCCCCS(=O)(=O)[O-])CCCP(CCCCCCS(=O)(=O)[O-])CCCCCCS(=O)(=O)[O-], 6-[3-[bis(6-sulfonatohexyl)phosphanyl]propyl-(6-sulfonatohexyl)phosphanyl]hexane-1-sulfonate
N#Cc1cncc(-c2ccc3c4ccccc4n(-c4cccc5c4C(=O)N(c4c(-c6ccccc6)cccc4-c4ccccc4)C5=O)c3c2)c1, 5-[9-[2-(2,6-diphenylphenyl)-1,3-dioxoisoindol-4-yl]carbazol-2-yl]pyridine-3-carbonitrile
N#CC1=C(N)N(c2nnc(SCc3cccc(C(F)(F)F)c3)s2)C2=C(C(=O)CCC2)[C@H]1c1cccc([N+](=O)[O-])c1, (4S)-2-amino-4-(3-nitrophenyl)-5-oxo-1-[5-[[3-(trifluoromethyl)phenyl]methylsulfanyl]-1,3,4-thiadiazol-2-yl]-4,6,7,8-tetrahydroquinoline-3-carbonitrile
CCC1=C(OC2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)C(Cc2ccc(C=CCCO)cc2C)=C(C(C)C)CC1, [3,4,5-triacetyloxy-6-[2-ethyl-6-[[4-(4-hydroxybut-1-enyl)-2-methylphenyl]methyl]-5-propan-2-ylcyclohexa-1,5-dien-1-yl]oxyoxan-2-yl]methyl acetate
COc1ccc(C2=NN(C(=O)CSc3nnc(CNC(=O)COc4ccccc4)n3-c3ccccc3)[C@@H](c3cccc(OC)c3OC)C2)cc1, N-[[5-[2-[(3R)-3-(2,3-dimethoxyphenyl)-5-(4-methoxyphenyl)-3,4-dihydropyrazol-2-yl]-2-oxoethyl]sulfanyl-4-phenyl-1,2,4-triazol-3-yl]methyl]-2-phenoxyacetamide
CCOC(=O)[C@@]12O[C@]3([C@H]4C(=O)N(c5ccccc5)C(=O)[C@H]41)N(Cc1ccccc1)CCC[C@@]3(C)C2=O, ethyl (1S,6R,8R,9R,13S)-2-benzyl-6-methyl-7,10,12-trioxo-11-phenyl-14-oxa-2,11-diazatetracyclo[6.5.1.01,6.09,13]tetradecane-8-carboxylate
CCc1ccc(C(C(=O)NC(Cc2ccccc2)C(=O)OC(C)(C)C)N(CC#N)C(=O)C(CCC(N)=O)NC(=O)OC(C)(C)C)cc1, tert-butyl 2-[[2-[[5-amino-2-[(2-methylpropan-2-yl)oxycarbonylamino]-5-oxopentanoyl]-(cyanomethyl)amino]-2-(4-ethylphenyl)acetyl]amino]-3-phenylpropanoate
O=C1[C@H]2[C@@H]3C[C@@H]([C@H]2C(=O)[C@@H]2[C@H]4C=C[C@@H](C4)[C@@H]12)[C@H]1O[C@H]31, (1S,2S,4R,5R,8R,9R,11R,12S,13R,15R)-14-oxahexacyclo[10.3.1.15,8.02,11.04,9.013,15]heptadec-6-ene-3,10-dione
CC(C)(C)c1cc([C@@H]2[C@@H]3C(=O)N(c4ccc(Br)cc4)C(=O)[C@H]3ON2c2ccccc2)cc(C(C)(C)C)c1O, (3S,3aS,6aS)-5-(4-bromophenyl)-3-(3,5-ditert-butyl-4-hydroxyphenyl)-2-phenyl-3a,6a-dihydro-3H-pyrrolo[3,4-d][1,2]oxazole-4,6-dione
CCCNC(=O)[C@H]1[C@H]2C(=O)N([C@@H](CO)CC(C)C)C(C(=O)NC(C)(C)CC(C)(C)C)C23CC[C@]1(C)S3, (5S,6R,7S)-3-[(2R)-1-hydroxy-4-methylpentan-2-yl]-7-methyl-4-oxo-6-N-propyl-2-N-(2,4,4-trimethylpentan-2-yl)-10-thia-3-azatricyclo[5.2.1.01,5]decane-2,6-dicarboxamide
C[C@@H]1CC[C@@H](C(C)(C)c2ccccc2)[C@H](OC(=O)N2CCc3c([nH]c4ccccc34)[C@@H]2c2ccccc2)C1, [(1R,2S,5R)-5-methyl-2-(2-phenylpropan-2-yl)cyclohexyl] (1S)-1-phenyl-1,3,4,9-tetrahydropyrido[3,4-b]indole-2-carboxylate
CC(C)(C)OC(=O)N1C[C@H]2[C@@H](C1)C2(C#N)c1ccc(-c2ccc(N3C[C@H](Cn4cncn4)OC3=O)cc2F)cn1, tert-butyl (1R,5S)-6-cyano-6-[5-[2-fluoro-4-[(5R)-2-oxo-5-(1,2,4-triazol-1-ylmethyl)-1,3-oxazolidin-3-yl]phenyl]pyridin-2-yl]-3-azabicyclo[3.1.0]hexane-3-carboxylate
CC1=C(C)C(=O)[C@]2(C)[C@@H](C[C@@H]3C(=CCn4c(=O)n(C)c(=O)n43)[C@@H]2c2cccc(C)c2O)C1=O, (2R,3S,8R,10R)-2-(2-hydroxy-3-methylphenyl)-3,5,6,13-tetramethyl-11,13,15-triazatetracyclo[8.7.0.03,8.011,15]heptadeca-1(17),5-diene-4,7,12,14-tetrone
CCOc1ccc(N(CC(=O)N(Cc2cccc(OC)c2)[C@H](Cc2ccccc2)C(=O)NC2CCCCC2)S(=O)(=O)c2ccccc2)cc1, (2R)-2-[[2-[N-(benzenesulfonyl)-4-ethoxyanilino]acetyl]-[(3-methoxyphenyl)methyl]amino]-N-cyclohexyl-3-phenylpropanamide
CCCOCC(=O)[C@H](C)NCC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NN[C@@H](Cc1ccccc1)C(C)=O, (2S)-N-[(3S)-1-amino-1,4-dioxo-5-[[(2S)-3-oxo-4-propoxybutan-2-yl]amino]pentan-3-yl]-2-[2-[(2S)-3-oxo-1-phenylbutan-2-yl]hydrazinyl]pentanediamide
c1cc(-c2ccc3oc4ccccc4c3c2)cc(-c2ccc3sc4ccc(-c5cccc(-c6ccc7oc8ccccc8c7c6)c5)cc4c3c2)c1, 2-[3-[8-(3-dibenzofuran-2-ylphenyl)dibenzothiophen-2-yl]phenyl]dibenzofuran
COc1cc(N2CCN(C(C)(C)C)CC2)c(C)cc1Nc1ncc(C(F)(F)F)c(N[C@H]2CCCC[C@H]2N(C)S(C)(=O)=O)n1, N-[(1R,2S)-2-[[2-[4-(4-tert-butylpiperazin-1-yl)-2-methoxy-5-methylanilino]-5-(trifluoromethyl)pyrimidin-4-yl]amino]cyclohexyl]-N-methylmethanesulfonamide
C/C(=C\[C@@H](C)COCc1ccccc1)[C@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@@H](C)[C@H](O)[C@H](C)O, (E,2S,3S,4S,5R,8R)-4,6,8-trimethyl-9-phenylmethoxy-5-tri(propan-2-yl)silyloxynon-6-ene-2,3-diol
CCCCCCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)n(-c6ccc(SC)cc6)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56, 7-dodecyl-18-(4-methylsulfanylphenyl)-7,18-diazaheptacyclo[14.6.2.22,5.03,12.04,9.013,23.020,24]hexacosa-1(23),2,4,9,11,13,15,20(24),21,25-decaene-6,8,17,19-tetrone
COc1ccc(C(=O)[C@H]2[C@H]3C(=O)N(c4ccc(OC(C)=O)cc4)C(=O)[C@H]3[C@H]3c4ccccc4C=NN32)cc1, [4-[(1S,11R,12S,16R)-11-(4-methoxybenzoyl)-13,15-dioxo-9,10,14-triazatetracyclo[8.6.0.02,7.012,16]hexadeca-2,4,6,8-tetraen-14-yl]phenyl] acetate
[BH3-][P+](c1ccccc1)(c1ccccc1)[C@@H](c1ccccc1)[C@H](O)COC(c1ccccc1)(c1ccccc1)c1ccccc1, [[(1S,2R)-2-hydroxy-1-phenyl-3-trityloxypropyl]-diphenylphosphaniumyl]boranuide
c1ccc(-n2c3ccccc3c3cccc(-c4ccc(-n5c6ccccc6c6c5ccc5c7ccccc7n(-c7ccccc7)c56)cc4)c32)cc1, 12-phenyl-5-[4-(9-phenylcarbazol-1-yl)phenyl]indolo[3,2-c]carbazole
C=C(Cl)/C=C\C(=C/C)c1c([C@H](OC(C)(C)C)C(=O)O)c(C)cc2nc(N3CCOC(C)(c4ccc(C)cc4)C3)sc12, (2S)-2-[7-[(2E,4Z)-6-chlorohepta-2,4,6-trien-3-yl]-5-methyl-2-[2-methyl-2-(4-methylphenyl)morpholin-4-yl]-1,3-benzothiazol-6-yl]-2-[(2-methylpropan-2-yl)oxy]acetic acid
CC(C)[Si](O[C@@H]1CN(c2cc(C#N)cc(NC(=O)OC(C)(C)C)c2Cl)CC[C@H]1N(C)C(=O)O)(C(C)C)C(C)C, [(3R,4R)-1-[2-chloro-5-cyano-3-[(2-methylpropan-2-yl)oxycarbonylamino]phenyl]-3-tri(propan-2-yl)silyloxypiperidin-4-yl]-methylcarbamic acid
CC[C@@H](C)NC(=O)[C@@H](Cc1ccccc1)N(Cc1ccccc1Cl)C(=O)CN(c1ccc(C(C)(C)C)cc1)S(C)(=O)=O, (2R)-N-[(2R)-butan-2-yl]-2-[[2-(4-tert-butyl-N-methylsulfonylanilino)acetyl]-[(2-chlorophenyl)methyl]amino]-3-phenylpropanamide
OC[C@@H]1O[C@H](OC[C@@H]2N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O, (2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[[(2S,3R,4R,5S,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]piperidine-3,4,5-triol
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(CC3CC4CCC(C3)N4C(=O)c3cc(-c4ccccc4)oc3C)c2)cc1, 1-[5-tert-butyl-2-(4-methylphenyl)pyrazol-3-yl]-3-[3-[[8-(2-methyl-5-phenylfuran-3-carbonyl)-8-azabicyclo[3.2.1]octan-3-yl]methyl]phenyl]urea
CC[C@@H](C(=O)NC(C)(C)C)N(Cc1ccc(F)cc1)C(=O)CN(c1cc(C(F)(F)F)ccc1Cl)S(=O)(=O)c1ccccc1, (2S)-2-[[2-[N-(benzenesulfonyl)-2-chloro-5-(trifluoromethyl)anilino]acetyl]-[(4-fluorophenyl)methyl]amino]-N-tert-butylbutanamide
O[C@H]1[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1O, (1R,2R,3R,4S,5S,6R)-3,4,5,6-tetrakis(phenylmethoxy)cyclohexane-1,2-diol
CC(=O)N[C@@H]1[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O[C@H]1n1c(=O)oc2ccc(C)cc21, [(2R,3S,4S,5R,6R)-5-acetamido-3,4-diacetyloxy-6-(5-methyl-2-oxo-1,3-benzoxazol-3-yl)oxan-2-yl]methyl acetate
C[C@@H]1C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]34O[C@H]4C[C@]2(C)[C@@]1(O)C(=O)CO, (1S,2R,10S,11R,13R,14R,15S,17S)-14-hydroxy-14-(2-hydroxyacetyl)-2,13,15-trimethyl-18-oxapentacyclo[8.8.0.01,17.02,7.011,15]octadeca-3,6-dien-5-one
Cc1ccc(-c2cc(C)c(C#Cc3ccc(-c4ccc(-c5ccc6c(F)c(F)c(F)cc6c5)c(F)c4)c(F)c3)c(F)c2)c(F)c1, 1,2,3-trifluoro-6-[2-fluoro-4-[2-fluoro-4-[2-[2-fluoro-4-(2-fluoro-4-methylphenyl)-6-methylphenyl]ethynyl]phenyl]phenyl]naphthalene
C[C@H]1COCCN1c1nc(-c2cnc(N(N(C(=O)O)C(C)(C)C)N(C(=O)O)C(C)(C)C)nc2)nc2c1ncn2CC(F)(F)F, tert-butyl-[[tert-butyl(carboxy)amino]-[5-[6-[(3S)-3-methylmorpholin-4-yl]-9-(2,2,2-trifluoroethyl)purin-2-yl]pyrimidin-2-yl]amino]carbamic acid
CN(C)C(=O)C1(NC(=O)C2(NC(=O)C3(NC(=O)C(C)(Cc4ccccc4)NC(=O)C(C)(C)CO)CCCC3)CCCC2)CCCC1, N-[1-[[1-(dimethylcarbamoyl)cyclopentyl]carbamoyl]cyclopentyl]-1-[[2-[(3-hydroxy-2,2-dimethylpropanoyl)amino]-2-methyl-3-phenylpropanoyl]amino]cyclopentane-1-carboxamide
CCCCON1C(=O)N2C[C@H]1CC[C@H]2c1nnc([C@H]2C[C@@H](NC(=O)OC(C)(C)C)CN2C(=O)OC(C)(C)C)o1, tert-butyl (2R,4R)-2-[5-[(2S,5R)-6-butoxy-7-oxo-1,6-diazabicyclo[3.2.1]octan-2-yl]-1,3,4-oxadiazol-2-yl]-4-[(2-methylpropan-2-yl)oxycarbonylamino]pyrrolidine-1-carboxylate
O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(O)C1c1ccc2cccc(N3C(=O)c4c(Cl)c(Cl)c(Cl)c(Cl)c4C3=O)c2n1, 4,5,6,7-tetrachloro-2-[2-(4,5,6,7-tetrachloro-1-hydroxy-3-oxo-1,2-dihydroinden-2-yl)quinolin-8-yl]isoindole-1,3-dione
CC[C@@H](C(=O)N[C@H](C)CC)N(Cc1ccc(Cl)cc1Cl)C(=O)CN(c1ccc(C)c(Cl)c1)S(=O)(=O)c1ccccc1, (2S)-2-[[2-[N-(benzenesulfonyl)-3-chloro-4-methylanilino]acetyl]-[(2,4-dichlorophenyl)methyl]amino]-N-[(2R)-butan-2-yl]butanamide
CCN(C(=O)c1cc2c(NC(=O)c3ccc(N4CCOCC4)cc3)nn(C(=O)OC)c2s1)C1(C2CC(C)CCC2C(C)C)C=CC=CC1, methyl 5-[ethyl-[1-(5-methyl-2-propan-2-ylcyclohexyl)cyclohexa-2,4-dien-1-yl]carbamoyl]-3-[(4-morpholin-4-ylbenzoyl)amino]thieno[2,3-c]pyrazole-1-carboxylate
CCOc1ccccc1N(CC(=O)N(Cc1ccc(Cl)cc1Cl)[C@H](CC)C(=O)N[C@@H](C)CC)S(=O)(=O)c1ccc(Cl)cc1, (2R)-N-[(2S)-butan-2-yl]-2-[[2-(N-(4-chlorophenyl)sulfonyl-2-ethoxyanilino)acetyl]-[(2,4-dichlorophenyl)methyl]amino]butanamide
COc1ccccc1N1C(=O)NC(=O)/C(=C/c2ccc3c(c2)CC2(C(=O)N(C)C(=O)N(C)C2=O)[C@@H]2CCCN32)C1=O, (3'aS)-7'-[(Z)-[1-(2-methoxyphenyl)-2,4,6-trioxo-1,3-diazinan-5-ylidene]methyl]-1,3-dimethylspiro[1,3-diazinane-5,4'-2,3,3a,5-tetrahydro-1H-pyrrolo[1,2-a]quinoline]-2,4,6-trione
O=C(CCCCCCC(=O)NCc1ccc([C@@H]2O[C@H](c3ccc(CO)cc3)C[C@H](CSc3ccc(C(=O)O)cc3)O2)cc1)NO, 4-[[(2R,4R,6S)-2-[4-[[[8-(hydroxyamino)-8-oxooctanoyl]amino]methyl]phenyl]-6-[4-(hydroxymethyl)phenyl]-1,3-dioxan-4-yl]methylsulfanyl]benzoic acid
CCOC(=O)[C@H](Cc1ccc(OCC=C(C)c2ccc(-c3ccc(C(C)=CCOC[Si](C)(C)C(C)(C)C)cc3)cc2)cc1)OCC, ethyl (2S)-3-[4-[3-[4-[4-[4-[[tert-butyl(dimethyl)silyl]methoxy]but-2-en-2-yl]phenyl]phenyl]but-2-enoxy]phenyl]-2-ethoxypropanoate
CCOC(=O)c1c(NC(=O)CSc2cccc(NC(=O)/C(=C\c3ccc(OC)c(OC)c3)NC(=O)c3ccccc3)c2)sc2c1CCCCC2, ethyl 2-[[2-[3-[[(E)-2-benzamido-3-(3,4-dimethoxyphenyl)prop-2-enoyl]amino]phenyl]sulfanylacetyl]amino]-5,6,7,8-tetrahydro-4H-cyclohepta[b]thiophene-3-carboxylate
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](NC(=O)c1nnn(-c3cccc(Cl)c3F)c1C)c1ncc-2[nH]1, methyl N-[(10R,14S)-14-[[1-(3-chloro-2-fluorophenyl)-5-methyltriazole-4-carbonyl]amino]-10-methyl-9-oxo-8,16,18-triazatricyclo[13.2.1.02,7]octadeca-1(17),2(7),3,5,15-pentaen-5-yl]carbamate
COC(=O)/C=C/C(C)(c1c(OC)cc(C)c2c1ccn2COCC[Si](C)(C)C)c1nc2cc(Br)ccc2n1COCC[Si](C)(C)C, methyl (E)-4-[5-bromo-1-(2-trimethylsilylethoxymethyl)benzimidazol-2-yl]-4-[5-methoxy-7-methyl-1-(2-trimethylsilylethoxymethyl)indol-4-yl]pent-2-enoate
COc1cc(OC)c(OC)cc1/C=C(\NC(=O)c1ccccc1)C(=O)Nc1ccc(SC(C(=O)Nc2cc(C)ccc2C)c2ccccc2)cc1, N-[(Z)-3-[4-[2-(2,5-dimethylanilino)-2-oxo-1-phenylethyl]sulfanylanilino]-3-oxo-1-(2,4,5-trimethoxyphenyl)prop-1-en-2-yl]benzamide
CC1(C)c2ccccc2-c2c(N(c3cccc(-n4c5ccccc5c5ccccc54)c3)c3cccc4c3C(C)(C)c3ccccc3-4)cccc21, N-(3-carbazol-9-ylphenyl)-N-(9,9-dimethylfluoren-4-yl)-9,9-dimethylfluoren-1-amine
Cc1ccc(C(=O)OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)[C@H](Br)[C@H]2OC(=O)c2ccc(C)cc2)cc1, [(2R,3S,4R,5R)-4-bromo-3-(4-methylbenzoyl)oxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl 4-methylbenzoate
CCOC(=O)c1ccc(NC(=O)COc2ccc(Cl)cc2C2c3sc(=O)[nH]c3SC3C(=O)N(c4ccc(Cl)cc4)C(=O)C32)cc1, ethyl 4-[[2-[4-chloro-2-[11-(4-chlorophenyl)-5,10,12-trioxo-2,6-dithia-4,11-diazatricyclo[7.3.0.03,7]dodec-3(7)-en-8-yl]phenoxy]acetyl]amino]benzoate
c1ccc(-c2ccc(-c3nc(-c4ccccc4)nc(-c4cccc(-c5nc(-c6ccccc6)c6sc7ccccc7c6n5)c4)n3)cc2)cc1, 4-phenyl-2-[3-[4-phenyl-6-(4-phenylphenyl)-1,3,5-triazin-2-yl]phenyl]-[1]benzothiolo[3,2-d]pyrimidine
Cc1cccc2c(NC(=S)NCCCC3OCC4(CO3)COC(CCCNC(=S)Nc3c5ccccc5nc5c(C)cccc35)OC4)c3ccccc3nc12, 1-(4-methylacridin-9-yl)-3-[3-[3-[3-[(4-methylacridin-9-yl)carbamothioylamino]propyl]-2,4,8,10-tetraoxaspiro[5.5]undecan-9-yl]propyl]thiourea
CC(=O)OC(C)O/N=N\N1CCC[C@H]1COC(=O)NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1, 1-[(Z)-[(2S)-2-[[4-[5-(4-methylphenyl)-3-(trifluoromethyl)pyrazol-1-yl]phenyl]sulfonylcarbamoyloxymethyl]pyrrolidin-1-yl]diazenyl]oxyethyl acetate
CC1(C)C[C@@H]2C[C@](C)(CN2S(=O)(=O)c2ccc(C(=O)Nc3ccc(Cl)c(S(=O)(=O)N4CCOCC4)c3)cc2)C1, N-(4-chloro-3-morpholin-4-ylsulfonylphenyl)-4-[[(1R,5R)-1,3,3-trimethyl-6-azabicyclo[3.2.1]octan-6-yl]sulfonyl]benzamide
C[N+](C)(C)c1ccc2[nH]c3c(c2c1)C[C@@]1(O)[C@H]2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5, [(1S,2S,13R,21R)-22-(cyclopropylmethyl)-2,16-dihydroxy-14-oxa-11,22-diazaheptacyclo[13.9.1.01,13.02,21.04,12.05,10.019,25]pentacosa-4(12),5(10),6,8,15,17,19(25)-heptaen-7-yl]-trimethylazanium
CC(C)(C)OC(=O)N(CCc1ccc(-c2ccc(C(=O)NS(=O)(=O)CCCO)c(C3CCCC3)c2)cc1)C[C@H](O)c1ccccc1, tert-butyl N-[2-[4-[3-cyclopentyl-4-(3-hydroxypropylsulfonylcarbamoyl)phenyl]phenyl]ethyl]-N-[(2R)-2-hydroxy-2-phenylethyl]carbamate
Cc1c(NC(=O)COC(=O)[C@@H](C(C)C)N2C(=O)[C@H]3[C@H]4C=C[C@@H](C4)[C@H]3C2=O)ccc(Br)c1Cl, [2-(4-bromo-3-chloro-2-methylanilino)-2-oxoethyl] (2R)-2-[(1R,2R,6S,7R)-3,5-dioxo-4-azatricyclo[5.2.1.02,6]dec-8-en-4-yl]-3-methylbutanoate
CC(C)CCC[C@@H](C)[C@@H]1CC[C@@H]2[C@@H]3CC=C4C[C@H](N(C)C)CC[C@]4(C)[C@@H]3CC[C@@]12C, (3R,8S,9R,10R,13S,14R,17S)-N,N,10,13-tetramethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-amine
CC1=CC(C)(C)N(C)c2cc3oc4cc(=O)c(-c5c6ccccc6c(C)c6ccccc56)cc-4c(-c4ccccc4C(=O)O)c3cc21, 2-[1,2,2,4-tetramethyl-8-(10-methylanthracen-9-yl)-9-oxochromeno[3,2-g]quinolin-6-yl]benzoic acid
Cc1ccc([C@@H](C)NC(=O)c2ccc3c(c2)C(=Cc2[nH]c(C)c(C(=O)N4CC[C@@H](O)C4)c2C)C(=O)N3)cc1, 3-[[4-[(3R)-3-hydroxypyrrolidine-1-carbonyl]-3,5-dimethyl-1H-pyrrol-2-yl]methylidene]-N-[(1R)-1-(4-methylphenyl)ethyl]-2-oxo-1H-indole-5-carboxamide
C[C@@H](C(=O)NC1N=C(c2ccccc2F)c2cc(Cl)ccc2N(C)C1=O)[C@@H](O)[C@H]1CCCN1C(=O)OC(C)(C)C, tert-butyl (2R)-2-[(1R,2R)-3-[[7-chloro-5-(2-fluorophenyl)-1-methyl-2-oxo-3H-1,4-benzodiazepin-3-yl]amino]-1-hydroxy-2-methyl-3-oxopropyl]pyrrolidine-1-carboxylate
c1ccc(-c2cccc(N(c3ccc4c(c3)sc3ccc(N(c5ccccc5)c5ccccc5)cc34)c3ccc4oc5ccccc5c4c3)c2)cc1, 7-N-dibenzofuran-2-yl-2-N,2-N-diphenyl-7-N-(3-phenylphenyl)dibenzothiophene-2,7-diamine
