input,target
CC(=O)NC1C(OCCOCC=[N+]2CC(CN(Cc3cn(CCOCCOC4OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C4NC(C)=O)nn3)C(CCCCN(Cc3cn(CCOCCOC4OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C4NC(C)=O)nn3)CC3CN(CCOCCOC4OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C4NC(C)=O)N=N3)C(=O)O)=N2)OC(COC(C)=O)C(OC(C)=O)C1OC(C)=O,"6-[[1-[2-[2-[3-acetamido-4,5-diacetyloxy-6-(acetyloxymethyl)oxan-2-yl]oxyethoxy]ethyl]-4,5-dihydrotriazol-4-yl]methyl-[[1-[2-[2-[3-acetamido-4,5-diacetyloxy-6-(acetyloxymethyl)oxan-2-yl]oxyethoxy]ethyl]triazol-4-yl]methyl]amino]-2-[[2-[2-[2-[3-acetamido-4,5-diacetyloxy-6-(acetyloxymethyl)oxan-2-yl]oxyethoxy]ethylidene]-3H-diazet-2-ium-4-yl]methyl-[[1-[2-[2-[3-acetamido-4,5-diacetyloxy-6-(acetyloxymethyl)oxan-2-yl]oxyethoxy]ethyl]triazol-4-yl]methyl]amino]hexanoic acid"
CC(=O)NC1CCCNC(=O)CC(C(=O)N2CCCC2C(=O)N2CCCC2C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN(CC(=O)O)CC(=O)O)C(=O)NC(CCCCNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCCC(=O)O)C(N)=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2cnc[nH]2)NC1=O,"18-[2-[2-[2-[[5-[[2-[[2-[[2-[[1-[1-[21-acetamido-5-benzyl-8-(3-carbamimidamidopropyl)-2-(1H-imidazol-5-ylmethyl)-11-(1H-indol-3-ylmethyl)-3,6,9,12,16,22-hexaoxo-1,4,7,10,13,17-hexazacyclodocosane-14-carbonyl]pyrrolidine-2-carbonyl]pyrrolidine-2-carbonyl]amino]-5-carbamimidamidopentanoyl]amino]-4-carboxybutanoyl]amino]-6-[bis(carboxymethyl)amino]hexanoyl]amino]-6-amino-6-oxohexyl]amino]-2-oxoethoxy]ethoxy]ethylamino]-18-oxooctadecanoic acid"
CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)Cn1cnc2ccc(C)cc2c1=O)C(C)C)[C@@H](C)O,"(2S)-2-[[(2S)-2-[[(2S,3R)-2-[[(2S)-2-[[(2S)-2-[[(2S)-4-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-5-carbamimidamido-2-[[2-(6-methyl-4-oxoquinazolin-3-yl)acetyl]amino]pentanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-4-oxobutanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-3-methylbutanoyl]amino]-3-hydroxybutanoyl]amino]-5-carbamimidamidopentanoyl]amino]-N-methylpentanediamide"
CC=C(C)C(=O)OC1[C@@H](OC(=O)C(C)=CC)C(C)O[C@@H](O[C@H]2[C@H](OC(C)=O)[C@@]3(CO)C(CC2(C)C)C2=CCC4[C@@]5(C)CC[C@H](O[C@@H]6OC(C(=O)O)[C@@H](O)C(O[C@@H]7O[C@@H](CO)C(O)[C@@H]7O)[C@@H]6O[C@@H]6OC(CO)[C@H](O)C(O)[C@@H]6O)C(C)(C)C5CC[C@@]4(C)[C@]2(C)C[C@H]3O)[C@H]1O,"(3S,5S,6R)-6-[[(3S,6aR,6bS,8R,8aR,9R,10R,14bR)-9-acetyloxy-8-hydroxy-8a-(hydroxymethyl)-10-[(2S,3S,5S)-3-hydroxy-6-methyl-4,5-bis(2-methylbut-2-enoyloxy)oxan-2-yl]oxy-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-[(2S,3S,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-3-hydroxy-5-[(2S,3S,5R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid"
C[SiH](C)O[SiH2][Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[SiH](C)O[SiH2][Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](=O)[Si](C)(C)[Si](C)(C)O,[[[[[[[[[[[[[[[[[[[[[[[[[[[dimethylsilyloxysilyl(oxo)silyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-methylsilyl]oxysilyl-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-oxosilyl]-[hydroxy(dimethyl)silyl]-dimethylsilane
CC(=O)NC1CCCNC(=O)CC(C(=O)N2CCCC2C(=O)N2CCCC2C(=O)NC(Cc2cnc[nH]2)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN(CC(=O)O)CC(=O)O)C(=O)NC(CCCCNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCC(=O)O)C(N)=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2cnc[nH]2)NC1=O,"17-[2-[2-[2-[[5-[[2-[[2-[[2-[[1-[1-[21-acetamido-5-benzyl-8-(3-carbamimidamidopropyl)-2-(1H-imidazol-5-ylmethyl)-11-(1H-indol-3-ylmethyl)-3,6,9,12,16,22-hexaoxo-1,4,7,10,13,17-hexazacyclodocosane-14-carbonyl]pyrrolidine-2-carbonyl]pyrrolidine-2-carbonyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-4-carboxybutanoyl]amino]-6-[bis(carboxymethyl)amino]hexanoyl]amino]-6-amino-6-oxohexyl]amino]-2-oxoethoxy]ethoxy]ethylamino]-17-oxoheptadecanoic acid"
COO[Si]([SiH3])(OC)[Si](O[SiH2]O)(O[Si](O[Si](C)(C)C)([Si](O[Si](O[SiH2]O)([SiH2]O)[SiH2]O)([Si](O[SiH2]O)([SiH2]O)[SiH2]O)[Si](O[SiH2]O)([SiH2]O)[SiH2]O)[Si](O[Si](OO)([SiH2]O)[SiH](C)C)([Si](O[SiH2]O)([SiH2]O)[SiH2]O)[Si](O[SiH2]O)([SiH2]O)[SiH2]O)[SiH](O)OC,[bis[bis(hydroxysilyl)-hydroxysilyloxysilyl]-[bis(hydroxysilyl)-hydroxysilyloxysilyl]oxysilyl]-[bis[bis(hydroxysilyl)-hydroxysilyloxysilyl]-(dimethylsilyl-hydroperoxy-hydroxysilylsilyl)oxysilyl]-[[hydroxy(methoxy)silyl]-hydroxysilyloxy-(methoxy-methylperoxy-silylsilyl)silyl]oxy-trimethylsilyloxysilane
COc1cc(C(C)(C)C)c2op(OC3=C4C(=O)c5c(Op6oc7c(C(C)(C)C)cc(OC)cc7c7cc(OC)cc(C(C)(C)C)c7o6)cccc5C(C5c6cccc(Op7oc8c(C(C)(C)C)cc(OC)cc8c8cc(OC)cc(C(C)(C)C)c8o7)c6C(=O)C6=C(Op7oc8c(C(C)(C)C)cc(OC)cc8c8cc(OC)cc(C(C)(C)C)c8o7)CC=CC65)C4C=CC3)oc3c(C(C)(C)C)cc(OC)cc3c2c1,"10-[4,5-bis[(4,8-ditert-butyl-2,10-dimethoxybenzo[d][1,3,2]benzodioxaphosphepin-6-yl)oxy]-10-oxo-9,9a-dihydro-3H-anthracen-9-yl]-1,8-bis[(4,8-ditert-butyl-2,10-dimethoxybenzo[d][1,3,2]benzodioxaphosphepin-6-yl)oxy]-4a,10-dihydro-2H-anthracen-9-one"
CON=C1C[C@@H](C)O[C@@H](O[C@H]2[C@@H](C)C[C@](C)(OC(=O)NC(C)(C)CNS(=O)(=O)c3ccccc3)C(=O)[C@H](C)[C@H](OC(=O)CC(C)C)[C@@H](C)[C@@H]([C@@H](C)CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)OC(=O)[C@H](C)[C@@H](O[C@H]3CC(C)N(CC(C)(C)C)C[C@H](C)O3)[C@@H]2C)[C@@H]1O,"[(2R,3S,4R,5R,7S,9S,10S,11R,12S,13R)-7-[[1-(benzenesulfonamido)-2-methylpropan-2-yl]carbamoyloxy]-12-[[(2S,7R)-4-(2,2-dimethylpropyl)-2,5-dimethyl-1,4-oxazepan-7-yl]oxy]-2-[(2S)-1-[(2R,3R,4R,5R,6R)-5-hydroxy-3,4-dimethoxy-6-methyloxan-2-yl]oxypropan-2-yl]-10-[(2S,3R,6R)-3-hydroxy-4-methoxyimino-6-methyloxan-2-yl]oxy-3,5,7,9,11,13-hexamethyl-6,14-dioxo-oxacyclotetradec-4-yl] 3-methylbutanoate"
CC(=O)NC1CC(=O)NCCC(C(=O)N2CCCC2C(=O)N2CCCC2C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN(CC(=O)O)CC(=O)O)C(=O)NC(CCCCNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCC(=N)NN=N)C(N)=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2cnc[nH]2)NC1=O,"3-[[2-[[1-[1-[20-acetamido-5-benzyl-8-(3-carbamimidamidopropyl)-2-(1H-imidazol-5-ylmethyl)-11-(1H-indol-3-ylmethyl)-3,6,9,12,18,21-hexaoxo-1,4,7,10,13,17-hexazacyclohenicosane-14-carbonyl]pyrrolidine-2-carbonyl]pyrrolidine-2-carbonyl]amino]-5-carbamimidamidopentanoyl]amino]-4-[[1-[[1-amino-6-[[2-[2-[2-[[17-imino-17-(2-iminohydrazinyl)heptadecanoyl]amino]ethoxy]ethoxy]acetyl]amino]-1-oxohexan-2-yl]amino]-6-[bis(carboxymethyl)amino]-1-oxohexan-2-yl]amino]-4-oxobutanoic acid"
