input,target
Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(OCc2ccc(C(=O)OCC(COC(=O)c3ccc(COc4cc(C)cc(C)c4C(=O)P(=O)(c4ccccc4)c4ccccc4)cc3)(COC(=O)c3ccc(COc4cc(C)cc(C)c4C(=O)P(=O)(c4ccccc4)c4ccccc4)cc3)COC(=O)c3ccc(COc4cc(C)cc(C)c4C(O)P(=O)(c4ccccc4)c4ccccc4)cc3)cc2)c1,"[3-[4-[(2-diphenylphosphorylcarbonyl-3,5-dimethylphenoxy)methyl]benzoyl]oxy-2,2-bis[[4-[(2-diphenylphosphorylcarbonyl-3,5-dimethylphenoxy)methyl]benzoyl]oxymethyl]propyl] 4-[[2-[diphenylphosphoryl(hydroxy)methyl]-3,5-dimethylphenoxy]methyl]benzoate"
C[Si]1(C)C(c2ccc(Cn3cc(C[C@@H]4NC(=O)[C@@H](Cc5ccccc5)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC4=O)nn3)cc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccc(Cn2cc(C[C@@H]3NC(=O)[C@@H](Cc4ccccc4)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC3=O)nn2)cc1,"2-[(2S,5R,8S,11S)-5-benzyl-8-[[1-[[4-[5-[4-[[4-[[(2S,5S,11S,14R)-14-benzyl-5-(3-carbamimidamidopropyl)-11-(carboxymethyl)-3,6,9,12,15-pentaoxo-1,4,7,10,13-pentazacyclopentadec-2-yl]methyl]triazol-1-yl]methyl]phenyl]-1,1-dimethyl-3,4-diphenylsilol-2-yl]phenyl]methyl]triazol-4-yl]methyl]-11-(3-carbamimidamidopropyl)-3,6,9,12,15-pentaoxo-1,4,7,10,13-pentazacyclopentadec-2-yl]acetic acid"
CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,"1-O-[2-[18-[1-[18-[1,3-di(octadec-9-enoyloxy)propan-2-yloxy]-18-oxooctadec-9-enoyl]oxy-3-octadec-9-enoyloxypropan-2-yl]oxy-18-oxooctadec-9-enoyl]oxy-3-octadec-9-enoyloxypropyl] 18-O-(1-octadecanoyloxy-3-octadec-9-enoyloxypropan-2-yl) octadec-9-enedioate"
CCO[Si](CC[Si](C)(C)O[Si]12O[Si]3(OC)O[Si]4(O[SiH2]C)O[Si]5(O[Si](C)(C)CCC6CC=CCC6)O[Si](O[Si](C)(C)CCC6CC=CCC6)(O3)O[Si](O[Si](C)(C)CC[Si](OCC)(OCC)OCC)(O1)O[Si](O[Si](C)(C)CC[Si](OCC)(OCC)OCC)(O5)O[Si](O[Si](C)(C)CC[Si](OCC)(OCC)OCC)(O4)O2)(OCC)OCC,"[3,5-bis[[2-cyclohex-3-en-1-ylethyl(dimethyl)silyl]oxy]-11,13,15-tris[[dimethyl(2-triethoxysilylethyl)silyl]oxy]-7-methoxy-9-methylsilyloxy-2,4,6,8,10,12,14,16,17,18,19,20-dodecaoxa-1,3,5,7,9,11,13,15-octasilapentacyclo[9.5.1.13,9.15,15.17,13]icosan-1-yl]oxy-dimethyl-(2-triethoxysilylethyl)silane"
CCCC(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C1CC1CCC(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C1CC1CCC(C)C1CC1(C)C(C)C,"2-[4-[2-[30-[2-(3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-hexacosamethylhentriacontan-2-yl)cyclopropyl]-3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-hexacosamethyltriacontan-2-yl]cyclopropyl]butan-2-yl]-1-methyl-1-propan-2-ylcyclopropane"
CC=CC[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@@H](CSCCCCC(C)(C)O)C(=O)CN(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,"(3S,6S,9S,12S,15S,18R,21S,24S,27S,30S,34R)-3-ethyl-6-[(1R,2R)-1-hydroxy-2-methylhex-4-enyl]-34-[(5-hydroxy-5-methylhexyl)sulfanylmethyl]-30-(2-hydroxy-2-methylpropyl)-1,7,10,13,16,18,21,25,31-nonamethyl-12,15,24-tris(2-methylpropyl)-9,27-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotetratriacontane-2,5,8,11,14,17,20,23,26,29,33-undecone"
CCCCC1C(=O)N(C)C(CCCC)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NCC(N)=O)CSCC(=O)NC(Cc2ccccc2)C(=O)N(C)C(C)C(=O)NC(CC(N)=O)C(=O)N2CCCC2C(=O)NC(Cc2cnc[nH]2)C(=O)NC(CCCNC(=N)N)C(=O)NC(CO)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N1C,"N,3-bis(2-amino-2-oxoethyl)-9-benzyl-21,24-dibutyl-30,39-bis(3-carbamimidamidopropyl)-36-(hydroxymethyl)-42-(1H-imidazol-5-ylmethyl)-27,33-bis(1H-indol-3-ylmethyl)-6,7,22,25-tetramethyl-18-(2-methylpropyl)-2,5,8,11,17,20,23,26,29,32,35,38,41,44-tetradecaoxo-13-thia-1,4,7,10,16,19,22,25,28,31,34,37,40,43-tetradecazabicyclo[43.3.0]octatetracontane-15-carboxamide"
CC=CC[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](CSCCN2CCN(CC)CC2)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,"(3S,6S,9S,12R,15S,18S,21S,24S,27S,30S,33S)-30-ethyl-27-[2-(4-ethylpiperazin-1-yl)ethylsulfanylmethyl]-33-[(1R,2R)-1-hydroxy-2-methylhex-4-enyl]-24-(2-hydroxy-2-methylpropyl)-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18-tris(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone"
CC(C)(C)c1cc2c(cc1F)CCC(c1ccc3c(c1)-c1cc(-n4c5cc(F)c(C(C)(C)C)cc5c5cc(C(C)(C)C)c(F)cc54)ccc1CCC3c1ccc(-n3c4ccc(CC5CCc6cc(F)c(C(C)(C)C)cc6-c6cc(C(C)(C)C)c(F)cc65)cc4c4cc(-n5c6cc(F)c(C(C)(C)C)cc6c6cc(C(C)(C)C)c(F)cc65)ccc43)cc1)Cc1cc(F)c(C(C)(C)C)cc1-2,"3,6-ditert-butyl-9-[9-[4-[14-(3,6-ditert-butyl-2,7-difluorocarbazol-9-yl)-4-(4,15-ditert-butyl-5,14-difluoro-9-tricyclo[10.4.0.02,7]hexadeca-1(16),2,4,6,12,14-hexaenyl)-8-tricyclo[9.4.0.02,7]pentadeca-1(11),2(7),3,5,12,14-hexaenyl]phenyl]-6-[(4,14-ditert-butyl-5,13-difluoro-8-tricyclo[9.4.0.02,7]pentadeca-1(15),2,4,6,11,13-hexaenyl)methyl]carbazol-3-yl]-2,7-difluorocarbazole"
CC1(C)C(=CC=CC=CC2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)N(CCCS(=O)(=O)O)c2ccc(CNC(=O)c3cc4c(c(S(=O)(=O)O)c3)CN(C(=O)CCCCC[N+]3=C(C=CC=CC=C5N(CCCS(=O)(=O)O)c6ccc7ccc(S(=O)(=O)O)cc7c6C5(C)C)C(C)(C)c5c3ccc3c(S(=O)(=O)O)cc(S(=O)(=O)O)cc53)CC4)cc21,"6-[2-[5-[5-[[[2-[6-[2-[5-[1,1-dimethyl-8-sulfo-3-(3-sulfopropyl)benzo[e]indol-2-ylidene]penta-1,3-dienyl]-1,1-dimethyl-6,8-disulfobenzo[e]indol-3-ium-3-yl]hexanoyl]-8-sulfo-3,4-dihydro-1H-isoquinoline-6-carbonyl]amino]methyl]-3,3-dimethyl-1-(3-sulfopropyl)indol-2-ylidene]penta-1,3-dienyl]-3,3-dimethyl-5-sulfoindol-1-ium-1-yl]hexanoic acid"
