input, target
Cc1cc([C@H]2[C@@H](c3ccccn3)N=C3S[C@@H](C)CN32)c(C)n1-c1cccc(F)c1, (2S,5S,6S)-5-[1-(3-fluorophenyl)-2,5-dimethylpyrrol-3-yl]-2-methyl-6-pyridin-2-yl-2,3,5,6-tetrahydroimidazo[2,1-b][1,3]thiazole
CCCCCC[C@@H](O)CCCCC(=O)OC[C@H](C)N1C(=O)c2cc3cc4ccccc4cc3cc2C1=O, [(2S)-2-(1,3-dioxonaphtho[2,3-f]isoindol-2-yl)propyl] (6R)-6-hydroxydodecanoate
CC(Sc1ccc(NC(=O)c2cccc(Cl)c2)cc1)C(=O)Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1, 3-chloro-N-[4-[1-[[4-(3,4-dichlorophenyl)-1,3-thiazol-2-yl]amino]-1-oxopropan-2-yl]sulfanylphenyl]benzamide
NCCCCC(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)O, 6-amino-2-[[2-[[5-amino-2-[(2-amino-3-carboxypropanoyl)amino]-5-oxopentanoyl]amino]-4-carboxybutanoyl]amino]hexanoic acid
C[C@@]1(C(=O)N=c2cccnn2O)C[C@@H](F)CN1C(=O)[C@H](CC1CCC1)CN(O)C=O, (2S,4R)-1-[(2R)-2-(cyclobutylmethyl)-3-[formyl(hydroxy)amino]propanoyl]-4-fluoro-N-(2-hydroxypyridazin-3-ylidene)-2-methylpyrrolidine-2-carboxamide
CC/C(C)=C/C(=C\c1c(C)c2cnccc2n1C(c1ccccc1)C1CCC(C)CC1)c1c(C)noc1C, 3,5-dimethyl-4-[(1E,3E)-4-methyl-1-[3-methyl-1-[(4-methylcyclohexyl)-phenylmethyl]pyrrolo[3,2-c]pyridin-2-yl]hexa-1,3-dien-2-yl]-1,2-oxazole
CC(C)(C)OC(=O)N1CC[C@H]([S@+]([O-])c2nc3cc([N+](=O)[O-])ccc3o2)C1, tert-butyl (3S)-3-[(S)-(5-nitro-1,3-benzoxazol-2-yl)sulfinyl]pyrrolidine-1-carboxylate
CNC(=O)[C@@H](C)N(Cc1ccc(Cl)cc1Cl)C(=O)CN(c1cccc(OC)c1)S(C)(=O)=O, (2R)-2-[(2,4-dichlorophenyl)methyl-[2-(3-methoxy-N-methylsulfonylanilino)acetyl]amino]-N-methylpropanamide
COc1ccc(CN(C(=O)Cc2ccccc2)[C@@H](C(=O)NC[C@@H]2CCCO2)c2ccccc2)cc1, (2R)-2-[(4-methoxyphenyl)methyl-(2-phenylacetyl)amino]-N-[[(2S)-oxolan-2-yl]methyl]-2-phenylacetamide
Cc1c(Cl)ccc2sc(NC(=O)C3CCN(S(=O)(=O)c4cccc(S(C)(=O)=O)c4)CC3)nc12, N-(5-chloro-4-methyl-1,3-benzothiazol-2-yl)-1-(3-methylsulfonylphenyl)sulfonylpiperidine-4-carboxamide
CN1CCc2cc(Cl)c(OCC(N)=O)c([N+](=O)[O-])c2[C@H]2c3ccccc3CC[C@@H]21, 2-[[(6aS,13bR)-11-chloro-7-methyl-13-nitro-5,6,6a,8,9,13b-hexahydronaphtho[1,2-a][3]benzazepin-12-yl]oxy]acetamide
