input,target
CCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CCC(N)=O)C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)NC(Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O)C(C)C,"2-[[(2S)-2-[[(2S,3R)-2-[[(2S)-2-[[2-[[(2S)-4-amino-2-[[2-[[(2S)-2-[[2-[[(2S)-5-carbamimidamido-2-(propanoylamino)pentanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-4-methylpentanoyl]amino]-4-oxobutanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-3-methylbutanoyl]amino]-3-hydroxybutanoyl]amino]-5-carbamimidamidopentanoyl]amino]-N-[(2S)-1-[[1-amino-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]-N-methylpentanediamide"
CCC(C)/C(CCCCCCCCCCCCCCCC(=O)NCCOCCOCC(=O)NCCCCC(NC(=O)C(CCCCN(CC(=O)O)CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCCN1C(=O)C1CCCN1C(=O)C(CC=O)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CCNC)NC(C)=O)C(N)=O)=N/N=N,4-[[2-[[1-[1-[2-[[2-[[2-[[2-[[2-[[2-acetamido-4-(methylamino)butanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-3-phenylpropanoyl]amino]-5-carbamimidamidopentanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-4-oxobutanoyl]pyrrolidine-2-carbonyl]pyrrolidine-2-carbonyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-5-[[1-[[1-amino-6-[[2-[2-[2-[[(17E)-17-(iminohydrazinylidene)-18-methylicosanoyl]amino]ethoxy]ethoxy]acetyl]amino]-1-oxohexan-2-yl]amino]-6-[bis(carboxymethyl)amino]-1-oxohexan-2-yl]amino]-5-oxopentanoic acid
CC(CO)(COC(=O)Nc1cccc(Cc2cccc(NC(=O)OCCCCOC(=O)Nc3cccc(Cc4cccc(NC(=O)OCCOCCOC(=O)CCCCC(=O)OC(=O)Nc5cccc(Cc6cccc(NC(=O)OCCCOC(=O)Nc7cccc(Cc8cccc(NCOCC9CO9)c8)c7)c6)c5)c4)c3)c2)c1)OC(=O)Nc1cccc(Cc2cccc(NC(=O)NNC(=O)CCCCC(=O)NNC(=O)Nc3cccc(Cc4cccc(NC(=O)OCC5CO5)c4)c3)c2)c1,1-O-[2-[2-[[3-[[3-[4-[[3-[[3-[[3-hydroxy-2-methyl-2-[[3-[[3-[[[6-[2-[[3-[[3-(oxiran-2-ylmethoxycarbonylamino)phenyl]methyl]phenyl]carbamoyl]hydrazinyl]-6-oxohexanoyl]amino]carbamoylamino]phenyl]methyl]phenyl]carbamoyloxy]propoxy]carbonylamino]phenyl]methyl]phenyl]carbamoyloxy]butoxycarbonylamino]phenyl]methyl]phenyl]carbamoyloxy]ethoxy]ethyl] 6-O-[[3-[[3-[3-[[3-[[3-(oxiran-2-ylmethoxymethylamino)phenyl]methyl]phenyl]carbamoyloxy]propoxycarbonylamino]phenyl]methyl]phenyl]carbamoyl] hexanedioate
Cc1ccc(S(=O)(=O)NC(=N)NCCC[C@@H](NC(=O)[C@H](CCCCNC(=O)OCC2c3ccccc3-c3ccccc32)CC(=O)[C@H](Cc2ccc(OCc3ccccc3Br)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)C[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)C[C@H](CCC(=O)OCc2ccccc2)C(=O)N[C@H](C=O)CCCCNC(=O)OCC2c3ccccc3-c3ccccc32)cc1,"benzyl (4S)-7-[[(2R,5R)-5-[[(2R,5S)-6-[4-[(2-bromophenyl)methoxy]phenyl]-2-[4-(9H-fluoren-9-ylmethoxycarbonylamino)butyl]-5-[[(2S)-2-[(2-methylpropan-2-yl)oxycarbonylamino]-3-phenylpropanoyl]amino]-4-oxohexanoyl]amino]-8-[[N-(4-methylphenyl)sulfonylcarbamimidoyl]amino]-2-(naphthalen-2-ylmethyl)-4-oxooctanoyl]amino]-4-[[(2S)-6-(9H-fluoren-9-ylmethoxycarbonylamino)-1-oxohexan-2-yl]carbamoyl]-6-oxoheptanoate"
C[Si]1(C)CO[Si](C)(CC[Si]2(C)CO[Si](C)(C)O[Si](C)(C[Si]3(C)CO[Si](C)(C)O[Si](C)(C)O[Si](C)(CC[Si]4(C)O[Si](C)(C)O[Si](C)(C)CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O4)CO[Si](C)(C)O[Si](C)(C)O3)CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O2)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CO1,"2-[2-[13-[[2,2,4,4,6,9,9,11,11,13-decamethyl-13-[2-(2,2,4,4,6,6,8,10,10,12,12-undecamethyl-1,3,5,7,9,11-hexaoxa-2,4,6,8,10,12-hexasilacyclotridec-8-yl)ethyl]-1,3,5,8,10,12-hexaoxa-2,4,6,9,11,13-hexasilacyclotetradec-6-yl]methyl]-2,2,4,4,6,6,8,11,11,13-decamethyl-1,3,5,7,10,12-hexaoxa-2,4,6,8,11,13-hexasilacyclotetradec-8-yl]ethyl]-2,4,4,6,6,8,8,10,10,13,13-undecamethyl-1,3,5,7,9,12-hexaoxa-2,4,6,8,10,13-hexasilacyclotetradecane"
CCCCCCCCCCCCCCCC(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC1=CCC=N1)C(=O)NC(C(=O)N[C@@H](CCCC)C(=O)N[C@H]1CCC(=O)CCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O)[C@H](C)O)[C@@H](C)O,"(2S)-N-[(2S)-1-[[(3S)-1-[[(2S)-1-[[(3S,12S,15S,18S,21R,24S,26R)-21-benzyl-12-carbamoyl-18-[3-(diaminomethylideneamino)propyl]-26-hydroxy-15-(1H-indol-3-ylmethyl)-2,6,14,17,20,23-hexaoxo-1,13,16,19,22-pentazabicyclo[22.3.0]heptacosan-3-yl]amino]-1-oxohexan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-1-oxo-3-(3H-pyrrol-5-yl)propan-2-yl]-2-[[(2S,3R)-2-[[2-(hexadecanoylamino)acetyl]amino]-3-hydroxybutanoyl]amino]butanediamide"
CCC1O[C@@H](OC2[C@@H](C)[C@H](O[C@@H]3OC(C)[C@H](C)[C@H](OC(=O)c4ccccc4)C3OC(=O)c3ccccc3)C(COC(=O)c3ccccc3)O[C@H]2OC2CCC3(C)C(CCC4C3CCC3(C)C4CC(=O)C3[C@H](C)C(=O)CC[C@H](C)CO[C@@H]3OC(CC)[C@H](C)[C@H](OC(=O)c4ccccc4)C3OC(=O)c3ccccc3)C2)C(OC(=O)c2ccccc2)[C@@H](C)[C@@H]1C,"[(3S,4S,6R)-5-[(2S,4S,5S)-3-benzoyloxy-6-ethyl-4,5-dimethyloxan-2-yl]oxy-3-[(2S,4S,5S)-3,4-dibenzoyloxy-5,6-dimethyloxan-2-yl]oxy-6-[[17-[(2S,6S)-7-[(2R,4S,5S)-3,4-dibenzoyloxy-6-ethyl-5-methyloxan-2-yl]oxy-6-methyl-3-oxoheptan-2-yl]-10,13-dimethyl-16-oxo-1,2,3,4,5,6,7,8,9,11,12,14,15,17-tetradecahydrocyclopenta[a]phenanthren-3-yl]oxy]-4-methyloxan-2-yl]methyl benzoate"
[B]C(C)(C)C(=O)OCC(COCC(=O)NCCC(=O)NCC(CNC(=O)CCNC(=O)COCC(COC(=O)C(C)(C)Br)(COC(=O)C(C)(C)Br)COC(=O)C(C)(C)Br)(CNC(=O)CCNC(=O)COCC(COC(=O)C(C)(C)Br)(COC(=O)C(C)(C)Br)COC(O)C(C)(C)Br)CC(CC)(CC)OCCC(CC)(CC)NC(=O)CCC(CC)(CC)OCCC(N)(CC)CC)(COC(=O)C(C)(C)Br)COC(=O)C(C)(C)Br,"[1-[2-[[2-[[3-[[4-[3-[[4-(3-amino-3-ethylpentoxy)-4-ethylhexanoyl]amino]-3-ethylpentoxy]-2-[[3-[[2-[2-[(2-bromo-1-hydroxy-2-methylpropoxy)methyl]-3-(2-bromo-2-methylpropanoyl)oxy-2-[(2-bromo-2-methylpropanoyl)oxymethyl]propoxy]acetyl]amino]propanoylamino]methyl]-2-[[3-[[2-[3-(2-bromo-2-methylpropanoyl)oxy-2,2-bis[(2-bromo-2-methylpropanoyl)oxymethyl]propoxy]acetyl]amino]propanoylamino]methyl]-4-ethylhexyl]amino]-3-oxopropyl]amino]-2-oxoethoxy]methyl]-3-(2-bromo-2-methylpropanoyl)oxy-2-[(2-bromo-2-methylpropanoyl)oxymethyl]propoxy]-2-methyl-1-oxopropan-2-yl]boron"
C[SiH](C)O[Si](C)(C)O[Si](O[Si](O[SiH2]O)([SiH2]O)[SiH](O)[SiH](C)C)([Si](O[Si](O[SiH2]O)([SiH2]O)[SiH2]O)([Si](O[SiH2]O)([SiH2]O)[SiH2]O)[Si](O[SiH2]O)([SiH2]O)[SiH2]O)[Si](O[Si](O[SiH2]O)([SiH2]O)[SiH2]O)([Si](O[SiH2]O)([SiH2]O)[SiH2]O)[Si](O[SiH2]O)([SiH2]O)[SiH](C)O,bis[bis(hydroxysilyl)-hydroxysilyloxysilyl]-[[[bis(hydroxysilyl)-hydroxysilyloxysilyl]-[bis(hydroxysilyl)-hydroxysilyloxysilyl]oxy-[[hydroxy(methyl)silyl]-hydroxysilyl-hydroxysilyloxysilyl]silyl]-[[dimethylsilyl(hydroxy)silyl]-hydroxysilyl-hydroxysilyloxysilyl]oxy-[dimethylsilyloxy(dimethyl)silyl]oxysilyl]-[bis(hydroxysilyl)-hydroxysilyloxysilyl]oxysilane
CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CCCNC(=N)N)NC(=O)COCCNC(=O)C(Cc1ccc(C(C)=O)cc1)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CCC(=O)O)CC(=O)[C@H](N)CCC(=O)O,"(4R,7S)-7-[[(2R)-1-[[(2R)-1-[[(2R)-1-[[3-(4-acetylphenyl)-1-[2-[2-[[(2R)-5-carbamimidamido-1-[(2S)-2-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-3-(1H-indol-3-yl)-1-(methylamino)-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]carbamoyl]pyrrolidin-1-yl]-1-oxopentan-2-yl]amino]-2-oxoethoxy]ethylamino]-1-oxopropan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]carbamoyl]-4-amino-5-oxodecanedioic acid"
