input,target
CC1CCSCCN1,"5-methyl-1,4-thiazepane"
CNC(=S)NOC,1-methoxy-3-methylthiourea
NC(=O)SCCl,S-(chloromethyl) carbamothioate
CCCC1CC1CC,1-ethyl-2-propylcyclopropane
C=C(CC)CCN,3-methylidenepentan-1-amine
NC(CO)CCCl,2-amino-4-chlorobutan-1-ol
NCCc1ccns1,"2-(1,2-thiazol-5-yl)ethanamine"
C=NCC(N)=O,2-(methylideneamino)acetamide
OCCCCB(O)O,4-hydroxybutylboronic acid
CNc1nonc1C,"N,4-dimethyl-1,2,5-oxadiazol-3-amine"
Cn1nncc1CN,(3-methyltriazol-4-yl)methanamine
C#CCC(N)CO,2-aminopent-4-yn-1-ol
C=CC(F)C=O,2-fluorobut-3-enal
COCCC(O)Br,1-bromo-3-methoxypropan-1-ol
CNc1snnc1C,"N,4-dimethylthiadiazol-5-amine"
CCP(CC)CCN,2-diethylphosphanylethanamine
NSc1nocc1N,"S-(4-amino-1,2-oxazol-3-yl)thiohydroxylamine"
NNc1nnnn1N,5-hydrazinyltetrazol-1-amine
C=CC(CC)NN,pent-1-en-3-ylhydrazine
N#CCCSCCCN,3-(3-aminopropylsulfanyl)propanenitrile
Cc1cscc1NN,(4-methylthiophen-3-yl)hydrazine
C=COCCNCCN,"""N-(2-ethenoxyethyl)ethane-1,2-diamine"""
NCCn1nccn1,2-(triazol-2-yl)ethanamine
CC1(CN)CN1,(2-methylaziridin-2-yl)methanamine
CC(C)(O)NN,2-hydrazinylpropan-2-ol
CSCCC(C)NN,4-methylsulfanylbutan-2-ylhydrazine
C=C=CCCCCN,"hepta-5,6-dien-1-amine"
NNC1CCCNC1,piperidin-3-ylhydrazine
CC(N)(N)NN,"1-hydrazinylethane-1,1-diamine"
NNC(N)(N)O,diamino(hydrazinyl)methanol
NNC1CCCCN1,piperidin-2-ylhydrazine
CC1(N)CSC1,3-methylthietan-3-amine
CCn1cncc1N,3-ethylimidazol-4-amine
NC1COCCC1O,3-aminooxan-4-ol
NNc1cncnc1,pyrimidin-5-ylhydrazine
