input, target
COC(=O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1, methyl 2-[4-[[5-amino-2-(4-chlorophenyl)phenyl]methoxy]-2-fluorophenyl]-1-cyclohexylbenzimidazole-5-carboxylate
Cc1ccc2c(c1)[C@@H](NC(=O)[C@@H](C)N(c1cc(C)ccc1C)S(C)(=O)=O)CC(C)(C)O2, (2R)-2-(2,5-dimethyl-N-methylsulfonylanilino)-N-[(4S)-2,2,6-trimethyl-3,4-dihydrochromen-4-yl]propanamide
O=C(NCC(=O)N(c1ccc(F)c(Cl)c1)[C@@H](C(=O)NCc1ccc(F)cc1)c1ccco1)c1cccs1, N-[2-(3-chloro-4-fluoro-N-[(1R)-2-[(4-fluorophenyl)methylamino]-1-(furan-2-yl)-2-oxoethyl]anilino)-2-oxoethyl]thiophene-2-carboxamide
CC(C)(C)OC(=O)N1C2CCC(C2)C1C(=O)NC(C#N)CCc1ccc(-c2cnn(CC3CCCO3)c2)cc1F, tert-butyl 3-[[1-cyano-3-[2-fluoro-4-[1-(oxolan-2-ylmethyl)pyrazol-4-yl]phenyl]propyl]carbamoyl]-2-azabicyclo[2.2.1]heptane-2-carboxylate
C[C@H]1O[C@]1(C)[C@H]1C[C@H]2[C@](C)(CC[C@H]3C(C)(C)C(=O)C=C[C@]32C)O1, (2R,3aS,5aR,9aR,9bR)-2-[(2S,3R)-2,3-dimethyloxiran-2-yl]-3a,6,6,9a-tetramethyl-1,2,4,5,5a,9b-hexahydrobenzo[e][1]benzofuran-7-one
COc1cc(/C=C2\N=C(c3cc([N+](=O)[O-])ccc3Cl)OC2=O)cc(Cl)c1OCc1ccc(Br)cc1, (4Z)-4-[[4-[(4-bromophenyl)methoxy]-3-chloro-5-methoxyphenyl]methylidene]-2-(2-chloro-5-nitrophenyl)-1,3-oxazol-5-one
O=C1C(=O)N(CCCO)[C@@H](c2cccc(Br)c2)C1=C(O)c1ccc(S(=O)(=O)N2CCOCC2)cc1, (5S)-5-(3-bromophenyl)-4-[hydroxy-(4-morpholin-4-ylsulfonylphenyl)methylidene]-1-(3-hydroxypropyl)pyrrolidine-2,3-dione
C=CC(=O)N1C[C@@H]2CC[C@H](C1)N2C(=O)c1cc(Sc2cnc(Nc3ccccn3)s2)c(C)cc1OC, 1-[(1R,5S)-8-[2-methoxy-4-methyl-5-[[2-(pyridin-2-ylamino)-1,3-thiazol-5-yl]sulfanyl]benzoyl]-3,8-diazabicyclo[3.2.1]octan-3-yl]prop-2-en-1-one
Cn1ccnc1S[C@H]1C[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]2(C)C1=O, (5S,8R,9S,10S,13S,14S,16S)-10,13-dimethyl-16-(1-methylimidazol-2-yl)sulfanyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one
Cc1ccc(NC(=O)[C@@H]2C[C@@H]2c2ccccc2)c(NC(=O)[C@H]2C[C@@H]2c2ccccc2)c1, (1R,2S)-N-[4-methyl-2-[[(1S,2S)-2-phenylcyclopropanecarbonyl]amino]phenyl]-2-phenylcyclopropane-1-carboxamide
COC(=O)[C@H]1CC[C@H]2[C@H](CC#N)[C@@H]([C@@]3(C)CCC(=O)CC3=O)CC[C@]12C, methyl (1S,3aS,4S,5S,7aS)-4-(cyanomethyl)-7a-methyl-5-[(1R)-1-methyl-2,4-dioxocyclohexyl]-1,2,3,3a,4,5,6,7-octahydroindene-1-carboxylate
Cc1ncc2n1Cc1ccc(C#N)c(c1)Oc1ccc(-c3cc(Cl)cc(Cl)c3)c(c1)CN1CCN(CC1=O)C2, 4-(3,5-dichlorophenyl)-16-methyl-23-oxo-8-oxa-1,15,17,21-tetrazapentacyclo[19.2.2.13,7.19,13.015,19]heptacosa-3,5,7(27),9,11,13(26),16,18-octaene-10-carbonitrile
CC1CC=c2c(nc(-c3ccncc3)n2-c2ccc(C3(N)CCC3)cc2)=CC=C1c1cccc(N2CCOCC2)c1, 1-[4-[7-methyl-6-(3-morpholin-4-ylphenyl)-2-pyridin-4-yl-7,8-dihydrocycloocta[d]imidazol-1-yl]phenyl]cyclobutan-1-amine
CC(CC(C)(C)C)OC(=O)OCn1c(=O)oc2c(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)cccc21, 4,4-dimethylpentan-2-yl [2-oxo-7-[4-[(3-phenylphenyl)methyl]piperazin-1-yl]-1,3-benzoxazol-3-yl]methyl carbonate
c1ccc(-c2nc(-c3ccc(-c4cccnc4)cc3)nc(-c3c4ccccc4cc4c3ccc3ccccc34)n2)cc1, 2-benzo[a]anthracen-7-yl-4-phenyl-6-(4-pyridin-3-ylphenyl)-1,3,5-triazine
COc1ccccc1NC(=O)N1CC(=O)N2[C@H](CO)[C@H](c3ccc(C#CCC(C)C)cc3)[C@@H]2C1, (6R,7R,8S)-8-(hydroxymethyl)-N-(2-methoxyphenyl)-7-[4-(4-methylpent-1-ynyl)phenyl]-2-oxo-1,4-diazabicyclo[4.2.0]octane-4-carboxamide
Cc1ccc(/C(O)=C2\C(=O)C(=O)N(c3nc4ccc([N+](=O)[O-])cc4s3)C2c2cccs2)cc1C, (4E)-4-[(3,4-dimethylphenyl)-hydroxymethylidene]-1-(6-nitro-1,3-benzothiazol-2-yl)-5-thiophen-2-ylpyrrolidine-2,3-dione
C[C@H](O)[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)OCc1ccccc1, benzyl (2R)-2-[[(2R,3S)-3-hydroxy-2-(phenylmethoxycarbonylamino)butanoyl]amino]-3-phenylpropanoate
Cc1nc(C2=CCC(N(C)CC(C)(C)C)CC2)ccc1NC(=O)c1cnn(-c2ccc(C(F)(F)F)cn2)c1C, N-[6-[4-[2,2-dimethylpropyl(methyl)amino]cyclohexen-1-yl]-2-methylpyridin-3-yl]-5-methyl-1-[5-(trifluoromethyl)pyridin-2-yl]pyrazole-4-carboxamide
COc1ccc([C@H]2OCC(C)(C)n3c(-c4ccc(C)cc4)c4c(=O)n(C)c(=O)n(C)c4c32)cc1O, (13R)-13-(3-hydroxy-4-methoxyphenyl)-3,5,10,10-tetramethyl-8-(4-methylphenyl)-12-oxa-3,5,9-triazatricyclo[7.4.0.02,7]trideca-1,7-diene-4,6-dione
C[C@@H](OC(=O)Nc1c(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)cn2)nnn1C)c1ccccc1, (1S,3S)-3-[6-[1-methyl-5-[[(1R)-1-phenylethoxy]carbonylamino]triazol-4-yl]pyridin-3-yl]oxycyclohexane-1-carboxylic acid
COc1ccc(C2/C(=C(/O)c3ccc(OCC(C)C)c(C)c3)C(=O)C(=O)N2c2cc(C)cc(C)c2)cc1, (4Z)-1-(3,5-dimethylphenyl)-4-[hydroxy-[3-methyl-4-(2-methylpropoxy)phenyl]methylidene]-5-(4-methoxyphenyl)pyrrolidine-2,3-dione
Nc1c(C(=O)Nc2c(Cl)cc(Cl)cc2Cl)sc2nc(-c3ccc(Cl)cc3)cc(-c3ccc(Cl)cc3)c12, 3-amino-4,6-bis(4-chlorophenyl)-N-(2,4,6-trichlorophenyl)thieno[2,3-b]pyridine-2-carboxamide
CCCCCCCCCC1CCC(C(F)(F)OC2CC=C(C(F)(F)OC3CCC(S(F)(F)(F)(F)F)CC3)CC2)OC1, [4-[[4-[difluoro-(5-nonyloxan-2-yl)methoxy]cyclohexen-1-yl]-difluoromethoxy]cyclohexyl]-pentafluoro-λ6-sulfane
C[C@H](NC(=O)c1ccccc1NC(=O)CN(c1cc(C(F)(F)F)ccc1Cl)S(C)(=O)=O)c1ccccc1, 2-[[2-[2-chloro-N-methylsulfonyl-5-(trifluoromethyl)anilino]acetyl]amino]-N-[(1S)-1-phenylethyl]benzamide
CC(Sc1cccc(NC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)O)c1)C(=O)Nc1nc2ccccc2s1, 2-[[3-[1-(1,3-benzothiazol-2-ylamino)-1-oxopropan-2-yl]sulfanylphenyl]carbamoyl]-3,4,5,6-tetrachlorobenzoic acid
