input,target
CC1CNC1C,"2,3-dimethylazetidine"
ONCC(F)F,"N-(2,2-difluoroethyl)hydroxylamine"
COCCNCCF,N-(2-fluoroethyl)-2-methoxyethanamine
CC(CO)NN,2-hydrazinylpropan-1-ol
CSC1COC1,3-methylsulfanyloxetane
CSC(N)NN,hydrazinyl(methylsulfanyl)methanamine
NCC(O)CF,1-amino-3-fluoropropan-2-ol
COC1CC1N,2-methoxycyclopropan-1-amine
COCCNCCS,2-(2-methoxyethylamino)ethanethiol
C=C1CC1N,2-methylidenecyclopropan-1-amine
NCCC#CBr,4-bromobut-3-yn-1-amine
CCC(N)CF,1-fluorobutan-2-amine
NCC#CCCO,5-aminopent-3-yn-1-ol
NCC(S)CO,3-amino-2-sulfanylpropan-1-ol
NC(CO)CF,2-amino-3-fluoropropan-1-ol
CCCCNCCF,N-(2-fluoroethyl)butan-1-amine
CNCCNCCS,2-[2-(methylamino)ethylamino]ethanethiol
O=C1NC1O,3-hydroxyaziridin-2-one
N#CNCCCl,2-chloroethylcyanamide
C=CNCCCO,3-(ethenylamino)propan-1-ol
OCCCNCCS,3-(2-sulfanylethylamino)propan-1-ol
CCSCNC=O,N-(ethylsulfanylmethyl)formamide
N#CNCN=N,diazenylmethylcyanamide
C=CCNCOC,N-(methoxymethyl)prop-2-en-1-amine
CNCC[Se],2-λ1-selanyl-N-methylethanamine
NCC=NCCN,2-(2-aminoethylideneamino)ethanamine
N#CSCCCN,3-aminopropyl thiocyanate
CCCONCCN,"""N-propoxyethane-1,2-diamine"""
NCCNOCCO,2-(2-aminoethylamino)oxyethanol
C#CC#CCN,"penta-2,4-diyn-1-amine"
NC/C=N/O,(NE)-N-(2-aminoethylidene)hydroxylamine
NC=C=C=O,"3-aminopropa-1,2-dien-1-one"
NC1CC1CO,(2-aminocyclopropyl)methanol
COCOCCCN,3-(methoxymethoxy)propan-1-amine
COCB(F)F,difluoro(methoxymethyl)borane
CSCB(F)F,difluoro(methylsulfanylmethyl)borane
CCCC[N]C,1-(methyl-λ2-azanyl)butane
C#CCNC=S,N-prop-2-ynylmethanethioamide
ClCOOCCl,chloro(chloromethylperoxy)methane
ClCCSSCl,2-chloroethylsulfanyl thiohypochlorite
FCCOCCCl,1-(2-chloroethoxy)-2-fluoroethane
O=CCOCCl,2-(chloromethoxy)acetaldehyde
COCSCCCl,1-chloro-2-(methoxymethylsulfanyl)ethane
FCCSCCCl,1-(2-chloroethylsulfanyl)-2-fluoroethane
CSCOCCCl,1-chloro-2-(methylsulfanylmethoxy)ethane
CPC=NC=N,N-(methylphosphanylmethylidene)methanimidamide
C1=COC=1,"1-oxacyclobuta-2,3-diene"
CNCOCCCS,3-(methylaminomethoxy)propane-1-thiol
CCNC1CO1,N-ethyloxiran-2-amine
CC(OF)OF,1-fluorooxyethyl hypofluorite
C=C=NCNC,1-(ethenylideneamino)-N-methylmethanamine
COCC(N)P,2-methoxy-1-phosphanylethanamine
C=NC=CCO,3-(methylideneamino)prop-2-en-1-ol
CCC=CSNC,N-but-1-enylsulfanylmethanamine
N=NCN=CN,"""N-(diazenylmethyl)methanimidamide"""
C=CC=NSC,N-methylsulfanylprop-2-en-1-imine
NCC(O)NN,2-amino-1-hydrazinylethanol
N#CB(O)F,cyano(fluoro)borinic acid
CNC1SC1C,"N,3-dimethylthiiran-2-amine"
NC[B]CCN,2-aminoethyl(aminomethyl)boron
NCCC1CS1,2-(thiiran-2-yl)ethanamine
CN=CC=CF,3-fluoro-N-methylprop-2-en-1-imine
[B]CCSCC,2-ethylsulfanylethylboron
CN=C=S=O,N-methyl-1-sulfinylmethanimine
CCC1NC1N,3-ethylaziridin-2-amine
[SiH3]CS,silylmethanethiol
O=CCNP=O,2-(phosphorosoamino)acetaldehyde
CNCC1CN1,1-(aziridin-2-yl)-N-methylmethanamine
FB1CCCO1,2-fluorooxaborolane
CSCNCCCN,"""N-(methylsulfanylmethyl)propane-1,3-diamine"""
NCSC(N)N,aminomethylsulfanylmethanediamine
Fc1ncno1,"5-fluoro-1,2,4-oxadiazole"
C#[N+]Br,bromo(methylidyne)azanium
CC1NC1CN,(3-methylaziridin-2-yl)methanamine
CCCP1CC1,1-propylphosphirane
C[B]OCCO,2-hydroxyethoxy(methyl)boron
[2H]N=CP,N-deuterio-1-phosphanylmethanimine
CN=CNC=O,N-(methyliminomethyl)formamide
CCC(F)SC,1-fluoro-1-methylsulfanylpropane
CN=CCN=N,2-diazenyl-N-methylethanimine
COCCCNSC,3-methoxy-N-methylsulfanylpropan-1-amine
CC1CC1NS,N-(2-methylcyclopropyl)thiohydroxylamine
CCNCCNSC,"""N-ethyl-N-methylsulfanylethane-1,2-diamine"""
C=NN=CSC,methyl N-(methylideneamino)methanimidothioate
CNCC=C=O,3-(methylamino)prop-1-en-1-one
NC=NOCCl,"""N-(chloromethoxy)methanimidamide"""
NCC(O)NO,2-amino-1-(hydroxyamino)ethanol
O=C[SiH],formyl-λ2-silane
CNC1SC1N,"2-N-methylthiirane-2,3-diamine"
CN1CSCN1,"3-methyl-1,3,4-thiadiazolidine"
CSCN=CCN,2-(methylsulfanylmethylimino)ethanamine
O=C[B]Cl,chloro(formyl)boron
C=NCCCOC,N-(3-methoxypropyl)methanimine
CCN(C)NN,[hydrazinyl(methyl)amino]ethane
CSC=CCCO,4-methylsulfanylbut-3-en-1-ol
OC(Cl)CS,1-chloro-2-sulfanylethanol
OC(O)CNS,"2-(sulfanylamino)ethane-1,1-diol"
C=NSC=CC,N-prop-1-enylsulfanylmethanimine
CN=C=COC,2-methoxy-N-methylethenimine
[B]N=COF,(fluorooxymethylideneamino)boron
C1COSCO1,"1,4,2-dioxathiane"
PCNC[B]I,iodo-[(phosphanylmethylamino)methyl]boron
CNCCOCSC,N-methyl-2-(methylsulfanylmethoxy)ethanamine
CNCNCCCS,3-(methylaminomethylamino)propane-1-thiol
CSN=NNSC,(2-methylsulfanyliminohydrazinyl)sulfanylmethane
CC1CON1C,"2,3-dimethyloxazetidine"
CCC[SiH],propyl-λ2-silane
N#CCN=NN,2-(aminodiazenyl)acetonitrile
CNN1CC1C,"N,2-dimethylaziridin-1-amine"
C=NOC=CC,N-prop-1-enoxymethanimine
CCSNCCCO,3-(ethylsulfanylamino)propan-1-ol
CC=NN=NC,N-(methyldiazenyl)ethanimine
CCC#SCCC,propyl(propylidyne)-λ4-sulfane
CCCPCCCO,3-propylphosphanylpropan-1-ol
N#CCSC=O,S-(cyanomethyl) methanethioate
CCOCOPOC,ethoxymethoxy(methoxy)phosphane
CP[SiH3],methyl(silyl)phosphane
NC1COC1O,3-aminooxetan-2-ol
CCNCNNCC,N-[(2-ethylhydrazinyl)methyl]ethanamine
CCOCCNSC,2-ethoxy-N-methylsulfanylethanamine
CCC=NN=N,N-diazenylpropan-1-imine
CSSNCCCO,3-[(methyldisulfanyl)amino]propan-1-ol
CCC=CN=N,but-1-enyldiazene
COCNCCCS,3-(methoxymethylamino)propane-1-thiol
CCNN=CSC,methyl N-(ethylamino)methanimidothioate
CNCCNCSC,"""N-methyl-N-(methylsulfanylmethyl)ethane-1,2-diamine"""
CPC1CCN1,azetidin-2-yl(methyl)phosphane
CSNCCOSC,N-methylsulfanyl-2-methylsulfanyloxyethanamine
CNC1OC1O,3-(methylamino)oxiran-2-ol
NCC(N)ON,"O-(1,2-diaminoethyl)hydroxylamine"
CCOC(N)O,amino(ethoxy)methanol
NCCC=CCO,5-aminopent-2-en-1-ol
C=NSN=CC,N-(methylideneamino)sulfanylethanimine
CNCCNCNN,"""N-(hydrazinylmethyl)-N-methylethane-1,2-diamine"""
C=CSNCCO,2-(ethenylsulfanylamino)ethanol
C=CC=CSN,"S-buta-1,3-dienylthiohydroxylamine"
CCC1PC1C,2-ethyl-3-methylphosphirane
C=CC=COO,"1-hydroperoxybuta-1,3-diene"
C=CN=CNS,"""N-ethenyl-N-sulfanylmethanimidamide"""
CC=CCCCP,hex-4-enylphosphane
CC1OC1NN,(3-methyloxiran-2-yl)hydrazine
C#CN=CCC,N-ethynylpropan-1-imine
CNPC1CC1,N-cyclopropylphosphanylmethanamine
CCO[B]OC,ethoxy(methoxy)boron
CCCCCSCN,pentylsulfanylmethanamine
CCCC=CCP,hex-2-enylphosphane
OCC=CSCl,3-hydroxyprop-1-enyl thiohypochlorite
Bc1ccsc1,thiophen-3-ylborane
CCC1NC1O,3-ethylaziridin-2-ol
C=NN=CCC,N-(methylideneamino)propan-1-imine
O=CNC#CF,N-(2-fluoroethynyl)formamide
CNCC(C)P,N-methyl-2-phosphanylpropan-1-amine
CNCCOCSS,2-(disulfanylmethoxy)-N-methylethanamine
O=COC#CF,2-fluoroethynyl formate
CC=C=NOC,N-methoxyprop-1-en-1-imine
PC1=CCC1,cyclobuten-1-ylphosphane
C=NOC=NC,(methylideneamino) N-methylmethanimidate
NC1CNOC1,"1,2-oxazolidin-4-amine"
C#CNCCNO,N-[2-(ethynylamino)ethyl]hydroxylamine
CNCCN=CN,"""N-[2-(methylamino)ethyl]methanimidamide"""
NCC1CC1N,2-(aminomethyl)cyclopropan-1-amine
CPC1CNC1,azetidin-3-yl(methyl)phosphane
N#CONC=O,formamido cyanate
C=CN=NOC,ethenyl(methoxy)diazene
NC1CSCO1,"1,3-oxathiolan-5-amine"
CCCN=NSC,methylsulfanyl(propyl)diazene
c1pcpnp1,"1,2,4,6-azatriphosphinine"
CNC1OC1N,"2-N-methyloxirane-2,3-diamine"
OCCP(O)O,2-hydroxyethylphosphonous acid
CN=NCC=N,2-(methyldiazenyl)ethanimine
CCCN=NSC,methylsulfanyl(propyl)diazene
