input, target
Cc1nc(CN2CCC3(C2)CN(C(=O)c2ccncc2)C3)cs1, [7-[(2-methyl-1,3-thiazol-4-yl)methyl]-2,7-diazaspiro[3.4]octan-2-yl]-pyridin-4-ylmethanone
Cc1ccc(OC(C)C(=O)N2CCN(c3ccccc3C)CC2)cc1, 2-(4-methylphenoxy)-1-[4-(2-methylphenyl)piperazin-1-yl]propan-1-one
CCOC(=O)/C=C/c1cccn1S(=O)(=O)c1ccc(C)cc1, ethyl (E)-3-[1-(4-methylphenyl)sulfonylpyrrol-2-yl]prop-2-enoate
COc1cc(Oc2cc([N+](=O)[O-])ccc2Cl)nc(N)n1, 4-(2-chloro-5-nitrophenoxy)-6-methoxypyrimidin-2-amine
C=CCOc1ccc(C(=O)Nc2cc(C(=O)OCC)ccc2C)cc1, ethyl 4-methyl-3-[(4-prop-2-enoxybenzoyl)amino]benzoate
O=C(CCc1ccccc1F)C1CCN(Cc2ncc[nH]c2=O)CC1, 3-[[4-[3-(2-fluorophenyl)propanoyl]piperidin-1-yl]methyl]-1H-pyrazin-2-one
COc1ccc(C2(C(=O)NCc3nnc(N)s3)CCCC2)cc1OC, N-[(5-amino-1,3,4-thiadiazol-2-yl)methyl]-1-(3,4-dimethoxyphenyl)cyclopentane-1-carboxamide
CCCO[C@@H](CC(=O)O)c1ccc(OCc2ccccc2C)cc1, (3S)-3-[4-[(2-methylphenyl)methoxy]phenyl]-3-propoxypropanoic acid
O=C(O)Cc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2)c1Cl, 2-[2-chloro-3-(3,4,5-trichlorophenyl)phenyl]acetic acid
CC(C)N1CCC(NC(=O)NCc2ccnc(-n3cccn3)c2)C1, 1-(1-propan-2-ylpyrrolidin-3-yl)-3-[(2-pyrazol-1-ylpyridin-4-yl)methyl]urea
C#CCC(N=[N+]=[N-])c1ccccc1-c1noc2ccccc12, 3-[2-(1-azidobut-3-ynyl)phenyl]-1,2-benzoxazole
CC(OC(=O)/C=C/c1ccc(F)cc1)C(=O)Nc1ccccc1, (1-anilino-1-oxopropan-2-yl) (E)-3-(4-fluorophenyl)prop-2-enoate
CCOC1CC(NC(=O)C(C)NC(=O)c2ccoc2)C12CCCC2, N-[1-[(3-ethoxyspiro[3.4]octan-1-yl)amino]-1-oxopropan-2-yl]furan-3-carboxamide
COCCOc1ccccc1NC(=O)N1CCN(c2ccc(F)cc2)CC1, 4-(4-fluorophenyl)-N-[2-(2-methoxyethoxy)phenyl]piperazine-1-carboxamide
CCC(C)(C)c1ccc(Sc2c[nH]c(=O)c(C#N)c2)cc1, 5-[4-(2-methylbutan-2-yl)phenyl]sulfanyl-2-oxo-1H-pyridine-3-carbonitrile
COCCCNS(=O)(=O)c1ccc(SC)c(NC(=O)C(C)C)c1, N-[5-(3-methoxypropylsulfamoyl)-2-methylsulfanylphenyl]-2-methylpropanamide
Fc1cccc(-c2nnc3sc(COc4ccc(Cl)cc4)nn23)c1, 6-[(4-chlorophenoxy)methyl]-3-(3-fluorophenyl)-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole
CNc1ncc([N+](=O)[O-])c(N2CC(C)OC(C)C2)n1, 4-(2,6-dimethylmorpholin-4-yl)-N-methyl-5-nitropyrimidin-2-amine
