input,target
C[Se][Na],methylselanylsodium
C=CCCNC#N,but-3-enylcyanamide
NCC(Cl)Br,2-bromo-2-chloroethanamine
OCCCB(O)O,3-hydroxypropylboronic acid
CCCC1CNC1,3-propylazetidine
NOCCN1CC1,O-[2-(aziridin-1-yl)ethyl]hydroxylamine
CSCC(C)NN,1-methylsulfanylpropan-2-ylhydrazine
NCCC#CCCN,"hex-3-yne-1,6-diamine"
N#CCCSCCN,3-(2-aminoethylsulfanyl)propanenitrile
NCCOP(O)O,2-aminoethyl dihydrogen phosphite
CCO[Si]CN,aminomethyl(ethoxy)silicon
CC1CSCC1N,4-methylthiolan-3-amine
CC1SCCC1N,2-methylthiolan-3-amine
NCCCNCCON,O-[2-(3-aminopropylamino)ethyl]hydroxylamine
NCC=C=CCN,"penta-2,3-diene-1,5-diamine"
N#CC#CCCN,5-aminopent-2-ynenitrile
CC(N)(N)F,"1-fluoroethane-1,1-diamine"
C=C(CN)SC,2-methylsulfanylprop-2-en-1-amine
CS/C=C/CN,(E)-3-methylsulfanylprop-2-en-1-amine
Nc1ccnn1O,2-hydroxypyrazol-3-amine
NCC1CCC1O,2-(aminomethyl)cyclobutan-1-ol
NC(CO)CCl,2-amino-3-chloropropan-1-ol
N=[11CH]N,(11C)methanimidamide
NCCCN=C=S,3-isothiocyanatopropan-1-amine
CNCCNCCCS,3-[2-(methylamino)ethylamino]propane-1-thiol
CC(=S)NCO,N-(hydroxymethyl)ethanethioamide
N#CCCNC=S,N-(2-cyanoethyl)methanethioamide
CNCCCOC=O,3-(methylamino)propyl formate
CCCNC=S=O,N-(sulfinylmethyl)propan-1-amine
CNCC(O)CF,1-fluoro-3-(methylamino)propan-2-ol
CCC1CNCS1,"5-ethyl-1,3-thiazolidine"
CCCCCNCCS,2-(pentylamino)ethanethiol
CCOCCNCCS,2-(2-ethoxyethylamino)ethanethiol
CCCCNC=NC,"""N-butyl-N-methylmethanimidamide"""
C=CCNCCCl,N-(2-chloroethyl)prop-2-en-1-amine
CNCC(C)CS,2-methyl-3-(methylamino)propane-1-thiol
CNCC(S)CS,"3-(methylamino)propane-1,2-dithiol"
OCCCCNCCS,4-(2-sulfanylethylamino)butan-1-ol
COCCCNCCS,2-(3-methoxypropylamino)ethanethiol
C#CCCNC=O,N-but-3-ynylformamide
C=C1CNCN1,4-methylideneimidazolidine
CNC(CS)CS,"2-(methylamino)propane-1,3-dithiol"
C=C(F)CNC,2-fluoro-N-methylprop-2-en-1-amine
CNCCN(C)O,N-methyl-N-[2-(methylamino)ethyl]hydroxylamine
NCCC(S)CS,"4-aminobutane-1,2-dithiol"
NC1=NC=C1,azet-2-amine
NCC(Cl)CF,2-chloro-3-fluoropropan-1-amine
Cc1sncc1N,"5-methyl-1,2-thiazol-4-amine"
NCC(O)CNO,1-amino-3-(hydroxyamino)propan-2-ol
CNOC(N)=O,methylamino carbamate
COC(=N)CN,methyl 2-aminoethanimidate
NCCOCCCCO,4-(2-aminoethoxy)butan-1-ol
N#CC(N)CF,2-amino-3-fluoropropanenitrile
CC=NCCCCN,4-(ethylideneamino)butan-1-amine
NC1=CC=C1,cyclobutadienamine
