input,target
CCCC[C@H]1C(=O)N(C)[C@@H](CCCC)C(=O)NC(CCCNC(=N)N)C(=O)N[C@H](C(=O)NCC(N)=O)CC=CC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N2CCCC2C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](CC(C)C)C(=O)N2CCCC2C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1C,"(3S,6S,15S,18S,21S,27S,33S,36S,39S,42S,45S)-N,15-bis(2-amino-2-oxoethyl)-33,36-dibutyl-30-(3-carbamimidamidopropyl)-42-(hydroxymethyl)-21-[(4-hydroxyphenyl)methyl]-6-(1H-imidazol-5-ylmethyl)-39,45-bis(1H-indol-3-ylmethyl)-18,19,34,37-tetramethyl-3-(2-methylpropyl)-2,5,8,14,17,20,23,29,32,35,38,41,44,47-tetradecaoxo-1,4,7,13,16,19,22,28,31,34,37,40,43,46-tetradecazatricyclo[46.3.0.09,13]henpentacont-24-ene-27-carboxamide"
CCC(C)C(=O)OCCC[Si](C)(OC)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C,3-[[[[[[[[[[[[[[[[[[[[[[[[[dimethylsilyloxy(dimethyl)silyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-dimethylsilyl]oxy-methoxy-methylsilyl]propyl 2-methylbutanoate
COC(=O)C(CC(=O)CNC(=O)CCC(=O)CN(CCCC(=O)CNC(=O)CCC(=O)CN(CCCC(=O)CNC(=O)CCC(=O)CN(CCCC(=O)CNC(=O)CCC(=O)CN(C)C(=O)CNC(=O)CCC(=O)CN(C)C(=O)CNC(=O)CC(F)(F)F)C(=O)CNC(=O)CCC(=O)CN(C)C(=O)CNC(=O)CC(F)(F)F)C(=O)CNC(=O)CCC(=O)CN(C)C(=O)CNC(=O)CC(F)(F)F)C(=O)CNC(=O)CCC(=O)CN(C)C(=O)CNC(=O)CC(F)(F)F)C(=O)OC,"dimethyl 2-[3-[[5-[[5-[[5-[[5-[[5-[[5-[[5-[methyl-[2-[[5-[methyl-[2-(3,3,3-trifluoropropanoylamino)acetyl]amino]-4-oxopentanoyl]amino]acetyl]amino]-4-oxopentanoyl]amino]-4-oxopentyl]-[2-[[5-[methyl-[2-(3,3,3-trifluoropropanoylamino)acetyl]amino]-4-oxopentanoyl]amino]acetyl]amino]-4-oxopentanoyl]amino]-4-oxopentyl]-[2-[[5-[methyl-[2-(3,3,3-trifluoropropanoylamino)acetyl]amino]-4-oxopentanoyl]amino]acetyl]amino]-4-oxopentanoyl]amino]-4-oxopentyl]-[2-[[5-[methyl-[2-(3,3,3-trifluoropropanoylamino)acetyl]amino]-4-oxopentanoyl]amino]acetyl]amino]-4-oxopentanoyl]amino]-2-oxopropyl]propanedioate"
CCCC[C@H](NC(=O)[C@H](CNC(=O)CN(CC(=O)O)CC(=O)O)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCC(=O)O)C(=O)N[C@H]1CCC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O,"16-[2-[2-[2-[[2-[[(2S)-1-[[(2S)-5-amino-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(3S,12S,15R,18S,21R,24S,26R)-21-benzyl-18-(3-carbamimidamidopropyl)-12-carbamoyl-26-hydroxy-15-(1H-indol-3-ylmethyl)-2,6,14,17,20,23-hexaoxo-1,7,13,16,19,22-hexazabicyclo[22.3.0]heptacosan-3-yl]amino]-1-oxohexan-2-yl]amino]-3-[[2-[bis(carboxymethyl)amino]acetyl]amino]-1-oxopropan-2-yl]amino]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-2-oxoethyl]amino]-2-oxoethoxy]ethoxy]ethylamino]-16-oxohexadecanoic acid"
CCCOP(=O)(OCCNC(=O)OCc1ccccc1)OCC1OC(OC2C(OCC3OC(OC4C(COCc5ccccc5)OC(OC5C(OCc6ccccc6)C(C)C(OCc6ccccc6)C6OP(=O)(OC)OC56)C(N)C4OCc4ccccc4)C(OCc4ccccc4)C(OCc4ccccc4)C3OCc3ccccc3)OC(COCc3ccccc3)C(OCc3ccccc3)C2OCc2ccccc2)C(OC2OC(COCc3ccccc3)C(OCc3ccccc3)C(OCc3ccccc3)C2OCc2ccccc2)C(OCc2ccccc2)C1OCc1ccccc1,"benzyl N-[2-[[6-[2-[[6-[5-amino-6-[[2-methoxy-6-methyl-2-oxo-5,7-bis(phenylmethoxy)-3a,4,5,6,7,7a-hexahydrobenzo[d][1,3,2]dioxaphosphol-4-yl]oxy]-4-phenylmethoxy-2-(phenylmethoxymethyl)oxan-3-yl]oxy-3,4,5-tris(phenylmethoxy)oxan-2-yl]methoxy]-4,5-bis(phenylmethoxy)-6-(phenylmethoxymethyl)oxan-3-yl]oxy-3,4-bis(phenylmethoxy)-5-[3,4,5-tris(phenylmethoxy)-6-(phenylmethoxymethyl)oxan-2-yl]oxyoxan-2-yl]methoxy-propoxyphosphoryl]oxyethyl]carbamate"
CCC[C@@H](C(=O)[O-])N1CCN([C@@H](CCC(=O)CC(COC2OC(CO)C(O)C(O)C2O)(COC2OC(CO)C(O)C(O)C2O)COC2OC(CO)C(O)C(O)C2O)C(=O)[O-])CCN([C@@H](CCC(=O)NC(COC2OC(CO)C(O)C(O)C2O)(COC2OC(CO)C(O)C(O)C2O)COC2OC(CO)C(O)C(O)C2O)C(=O)[O-])CCN([C@@H](CCC(=O)NC(CC)(COC2OC(CO)C(O)C(O)C2O)COC2OC(O)C(CO)C(O)C2O)C(=O)[O-])CC1,"(2S)-2-[4-[(1S)-4-[[1,3-bis[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]-2-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]propan-2-yl]amino]-1-carboxylato-4-oxobutyl]-10-[(1S)-1-carboxylatobutyl]-7-[(1S)-1-carboxylato-4-oxo-4-[[1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[[3,4,6-trihydroxy-5-(hydroxymethyl)oxan-2-yl]oxymethyl]butan-2-yl]amino]butyl]-1,4,7,10-tetrazacyclododec-1-yl]-5-oxo-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7,7-bis[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]octanoate"
CC(=O)NC1[C@H](C)OC(CO)[C@@H](O[C@@H]2OC(CO)[C@@H](O[C@@H]3OC(CO[C@H]4OC(CO)[C@@H](O)[C@H](O)C4O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)C(O)C4O[C@@H]4OC(CO)[C@@H](O[C@@H]5OC(CO)[C@H](O)[C@H](O[C@]6(OC=O)C[C@@H](O)[C@@H](C)C([C@H](O)[C@H](O)CO)O6)C5O)[C@H](O)C4NC(C)=O)C3O)[C@H](O)C2NC(C)=O)[C@@H]1O,"[(2S,4R,5R)-2-[(2S,4S,5S)-2-[(3S,4R,6S)-5-acetamido-6-[(2R,5S,6R)-2-[(2S,4S,5R)-2-[(3S,4R,6S)-5-acetamido-6-[(3S,4R,6S)-5-acetamido-4-hydroxy-2-(hydroxymethyl)-6-methyloxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,5-dihydroxy-6-[[(2S,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-4-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-5-methyl-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxan-2-yl] formate"
CCCC[C@@H]1NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(=O)NCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2csc3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2CCCN2C1=O,"(3S,6S,9S,15S,18S,21S,27R,30S,33S,36S,39S,42S,45S,48R)-N,15-bis(2-amino-2-oxoethyl)-39-(1-benzothiophen-3-ylmethyl)-3,33,36-tributyl-30-(3-carbamimidamidopropyl)-42-(hydroxymethyl)-21-[(4-hydroxyphenyl)methyl]-6-(1H-imidazol-5-ylmethyl)-45-(1H-indol-3-ylmethyl)-18,19,34,37-tetramethyl-2,5,8,14,17,20,23,29,32,35,38,41,44,47-tetradecaoxo-25-thia-1,4,7,13,16,19,22,28,31,34,37,40,43,46-tetradecazatricyclo[46.3.0.09,13]henpentacontane-27-carboxamide"
CC(=O)NC1[C@H](C)OC(CO)[C@@H](O[C@@H]2OC(CO)[C@@H](O[C@@H]3OC(CO[C@H]4OC(CO)[C@@H](O)[C@H](O)C4O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)C(O)C4O[C@@H]4OC(CO)[C@@H](O[C@@H]5OC(CO[C@]6(OC=O)C[C@@H](O)[C@@H](C)C([C@H](O)[C@H](O)CO)O6)[C@H](O)[C@H](O)C5O)[C@H](O)C4NC(C)=O)C3O)[C@H](O)C2NC(C)=O)[C@@H]1O,"[(2R,4R,5R)-2-[[(3R,4S,6S)-6-[(3S,4R,6S)-5-acetamido-6-[(2R,5S,6R)-2-[(2S,4S,5R)-2-[(3S,4R,6S)-5-acetamido-6-[(3S,4R,6S)-5-acetamido-4-hydroxy-2-(hydroxymethyl)-6-methyloxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,5-dihydroxy-6-[[(2S,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-4-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-4-hydroxy-5-methyl-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxan-2-yl] formate"
CC(C)C[C@@H]1NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@@H](C(=O)NCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CNC1=O,"(3S,6S,9S,15R,18S,21S,24S,27S,30S,33S,39S,42S,45S)-N,3-bis(2-amino-2-oxoethyl)-9-benzyl-18-(3-carbamimidamidopropyl)-30-(hydroxymethyl)-42-(1H-imidazol-5-ylmethyl)-27,33-bis(1H-indol-3-ylmethyl)-6,21,22-trimethyl-39-(2-methylpropyl)-2,5,8,11,17,20,23,26,29,32,35,38,41,44-tetradecaoxo-24-[(4-phenylphenyl)methyl]-13-thia-1,4,7,10,16,19,22,25,28,31,34,37,40,43-tetradecazabicyclo[43.3.0]octatetracontane-15-carboxamide"
