input,target
CC1=C(C)C(C)C([Si](c2c([Si](C)(C)C)c([Si](C)(C)C)c([Si](C)(C)C)c([Si](C)(C)C)c2[Si](C)(C)C)(c2c([Si](C)(C)C)c([Si](C)(C)C)c([Si](C)(C)C)c([Si](C)(C)C)c2[Si](C)(C)C)c2c([Si](C)(C)C)c([Si](C)(C)C)c([Si](C)(C)C)c([Si](C)(C)C)c2[Si](C)(C)C)=C1C,"tris[2,3,4,5,6-pentakis(trimethylsilyl)phenyl]-(2,3,4,5-tetramethylcyclopenta-1,3-dien-1-yl)silane"
CCCCC1C(=O)N(C)CC(=O)NC(CC(=O)O)C(=O)NC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(Cc2ccc(O)cc2)C(=O)N(C)CC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NCC(N)=O)CSCC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N(C)C(Cc2ccccc2)C(=O)N1C,"2-[41-[(2-amino-2-oxoethyl)carbamoyl]-8,23-dibenzyl-11-butyl-26,35-bis[(4-hydroxyphenyl)methyl]-5,32-bis(1H-indol-3-ylmethyl)-7,10,13,22,28-pentamethyl-38-(2-methylpropyl)-3,6,9,12,15,18,21,24,27,30,33,36,39-tridecaoxo-20-propan-2-yl-1-thia-4,7,10,13,16,19,22,25,28,31,34,37,40-tridecazacyclodotetracont-17-yl]acetic acid"
CCC[Si](CCC)(CCC)O[Si]1(O[Si](CCC)(CCC)CCC)n2c3c4cc(S(=O)(=O)Nc5cccc(NCOc6ccccc6)c5)ccc4c2N=C2N=C(N=c4c5cc(N(c6cccc(Oc7ccccc7)c6)S(=O)O)ccc5c(n41)=NC1=NC(=N3)c3ccc(N(c4cccc(Oc5ccccc5)c4)S(=O)O)cc31)c1ccc(S(=O)(=O)Nc3cccc(NCOc4ccccc4)c3)cc12,"4,13-bis[[3-(phenoxymethylamino)phenyl]sulfamoyl]-22,31-bis(3-phenoxy-N-sulfinoanilino)-38,38-bis(tripropylsilyloxy)-9,18,27,36,37,39,40,41-octaza-38-siladecacyclo[17.17.3.110,17.128,35.02,7.08,37.011,16.020,25.026,39.029,34]hentetraconta-1,3,5,7,9,11(16),12,14,17(41),18,20(25),21,23,26,28(40),29(34),30,32,35-nonadecaene"
CCCCC1C(=O)N(C)CC(=O)NC(CC(=O)O)C(=O)NC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccc(O)cc23)C(=O)N(C)CC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NCC(N)=O)CSCC(=O)NC(Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)N1C,"2-[41-[(2-amino-2-oxoethyl)carbamoyl]-5,8,23-tribenzyl-11-butyl-26-[(5-hydroxy-1H-indol-3-yl)methyl]-35-[(4-hydroxyphenyl)methyl]-32-(1H-indol-3-ylmethyl)-7,10,13,22,28-pentamethyl-38-(2-methylpropyl)-3,6,9,12,15,18,21,24,27,30,33,36,39-tridecaoxo-20-propan-2-yl-1-thia-4,7,10,13,16,19,22,25,28,31,34,37,40-tridecazacyclodotetracont-17-yl]acetic acid"
CCCCC1C(=O)N(C)C(CCCC)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NCC(N)=O)CSCC(=O)NC(Cc2ccccc2)C(=O)N(C)C(C)C(=O)NC(CC(N)=O)C(=O)N2CCCC2C(=O)NC(Cc2cnc[nH]2)C(=O)NC(CCCCN)C(=O)N(C)CC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CO)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N1C,"39-(4-aminobutyl)-N,3-bis(2-amino-2-oxoethyl)-9-benzyl-21,24-dibutyl-18-(3-carbamimidamidopropyl)-30-(hydroxymethyl)-42-(1H-imidazol-5-ylmethyl)-27,33-bis(1H-indol-3-ylmethyl)-6,7,22,25,37-pentamethyl-2,5,8,11,17,20,23,26,29,32,35,38,41,44-tetradecaoxo-13-thia-1,4,7,10,16,19,22,25,28,31,34,37,40,43-tetradecazabicyclo[43.3.0]octatetracontane-15-carboxamide"
CCCCC1C(=O)N(C)CC(=O)NC(CC(=O)O)C(=O)NC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(Cc2ccc(O)cc2)C(=O)N(C)CC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NCC(N)O)CSCC(=O)NC(Cc2cc(F)c(F)c(F)c2)C(=O)N(C)C(Cc2ccccc2)C(=O)N1C,"2-[41-[(2-amino-2-hydroxyethyl)carbamoyl]-8,23-dibenzyl-11-butyl-26,35-bis[(4-hydroxyphenyl)methyl]-32-(1H-indol-3-ylmethyl)-7,10,13,22,28-pentamethyl-38-(2-methylpropyl)-3,6,9,12,15,18,21,24,27,30,33,36,39-tridecaoxo-20-propan-2-yl-5-[(3,4,5-trifluorophenyl)methyl]-1-thia-4,7,10,13,16,19,22,25,28,31,34,37,40-tridecazacyclodotetracont-17-yl]acetic acid"
CCCCC1C(=O)N(C)C(CCCC)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NCC(N)=O)CSCC(=O)NC(Cc2ccccc2)C(=O)N(C)C(C)C(=O)NC(CC(N)=O)C(=O)N2CCC2C(=O)NC(Cc2cnc[nH]2)C(=O)NC(CC(C)C)C(=O)N(C)CC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CO)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N1C,"N,3-bis(2-amino-2-oxoethyl)-9-benzyl-21,24-dibutyl-18-(3-carbamimidamidopropyl)-30-(hydroxymethyl)-42-(1H-imidazol-5-ylmethyl)-27,33-bis(1H-indol-3-ylmethyl)-6,7,22,25,37-pentamethyl-39-(2-methylpropyl)-2,5,8,11,17,20,23,26,29,32,35,38,41,44-tetradecaoxo-13-thia-1,4,7,10,16,19,22,25,28,31,34,37,40,43-tetradecazabicyclo[43.2.0]heptatetracontane-15-carboxamide"
CON=C1C[C@@H](C)O[C@@H](O[C@H]2[C@@H](C)C[C@](C)(OC(=O)NC3CCCc4ncccc43)C(=O)[C@H](C)[C@H](OC(=O)CC(C)C)[C@@H](C)[C@@H]([C@@H](C)CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)OC(=O)[C@H](C)[C@@H](O[C@H]3CC(C)N(C)C[C@H](C)O3)[C@@H]2C)[C@@H]1O,"[(2R,3S,4R,5R,7S,9S,10S,11R,12S,13R)-2-[(2S)-1-[(2R,3R,4R,5R,6R)-5-hydroxy-3,4-dimethoxy-6-methyloxan-2-yl]oxypropan-2-yl]-10-[(2S,3R,6R)-3-hydroxy-4-methoxyimino-6-methyloxan-2-yl]oxy-3,5,7,9,11,13-hexamethyl-6,14-dioxo-7-(5,6,7,8-tetrahydroquinolin-5-ylcarbamoyloxy)-12-[[(2S,7R)-2,4,5-trimethyl-1,4-oxazepan-7-yl]oxy]-oxacyclotetradec-4-yl] 3-methylbutanoate"
CC(C)CC1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CN(C)C(=O)C(Cc2ccc(O)cc2)NC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)CN(C)C(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)NC(=O)CSCC(C(=O)NCC(N)=O)NC1=O,"2-[41-[(2-amino-2-oxoethyl)carbamoyl]-5,8,23-tribenzyl-11,26,35-tris[(4-hydroxyphenyl)methyl]-32-(1H-indol-3-ylmethyl)-7,10,13,22,28-pentamethyl-38-(2-methylpropyl)-3,6,9,12,15,18,21,24,27,30,33,36,39-tridecaoxo-20-propan-2-yl-1-thia-4,7,10,13,16,19,22,25,28,31,34,37,40-tridecazacyclodotetracont-17-yl]acetic acid"
C=C(OC)C(=O)Nc1cc(OC)c(OC)cc1C(=O)O[C@H]1C[C@H](O[C@@H]2C(=O)C(=NC(=O)OC)C3=C(CCSSSC)[C@]2(O)C#C/C=C/C#C[C@@H]3O[C@@H]2O[C@H](C)[C@@H](NO[C@H]3C[C@H](O)[C@H](SC)[C@@H](C)O3)[C@H](O)[C@H]2O[C@H]2C[C@H](OC)[C@@H](NC(C)C)CO2)O[C@@H](C)[C@@H]1O,"[(2S,3S,4S,6S)-3-hydroxy-6-[[(2S,5E,9R,10S)-9-hydroxy-2-[(2R,3R,4S,5S,6R)-4-hydroxy-5-[[(2S,4S,5S,6R)-4-hydroxy-6-methyl-5-methylsulfanyloxan-2-yl]oxyamino]-3-[(2S,4S,5S)-4-methoxy-5-(propan-2-ylamino)oxan-2-yl]oxy-6-methyloxan-2-yl]oxy-12-methoxycarbonylimino-13-[2-(methyltrisulfanyl)ethyl]-11-oxo-10-bicyclo[7.3.1]trideca-1(13),5-dien-3,7-diynyl]oxy]-2-methyloxan-4-yl] 4,5-dimethoxy-2-(2-methoxyprop-2-enoylamino)benzoate"
