input,target
ONCCCF,N-(3-fluoropropyl)hydroxylamine
CN=CCN,2-methyliminoethanamine
CCPCCN,2-ethylphosphanylethanamine
CNCN=O,N-methyl-1-nitrosomethanamine
OCCNCS,2-(sulfanylmethylamino)ethanol
OOCCCl,1-chloro-2-hydroperoxyethane
SSCCCl,1-chloro-2-(disulfanyl)ethane
COOCCl,chloro(methylperoxy)methane
CSSCCl,chloro-(methyldisulfanyl)methane
ClCSBr,chloromethyl thiohypobromite
P#CCCl,2-chloroethylidynephosphane
OSNC=S,N-hydroxysulfanylmethanethioamide
NCOOON,O-(aminomethylperoxy)hydroxylamine
CNCNNC,N-methyl-1-(2-methylhydrazinyl)methanamine
O=CBNO,(hydroxyamino)boranylformaldehyde
OCCONO,2-(hydroxyamino)oxyethanol
CSCSSS,methylsulfanyl(trisulfanyl)methane
OCOCOO,hydroperoxymethoxymethanol
CB(F)P,[fluoro(methyl)boranyl]phosphane
CNCNNN,1-(2-aminohydrazinyl)-N-methylmethanamine
OCCOPO,2-hydroxyethoxyphosphinous acid
CCSCOS,sulfanyloxymethylsulfanylethane
CCSCCP,2-ethylsulfanylethylphosphane
CC1NS1,3-methylthiaziridine
CN=CCF,2-fluoro-N-methylethanimine
[B]PPC,(2-methyldiphosphanyl)boron
CCSCNF,1-ethylsulfanyl-N-fluoromethanamine
CCCNSS,N-(disulfanyl)propan-1-amine
OCCOOO,2-(trioxidanyl)ethanol
OCCCNS,3-(sulfanylamino)propan-1-ol
NCCONN,2-hydrazinyloxyethanamine
NCNONO,N-(aminomethylamino)oxyhydroxylamine
CNSCOC,N-(methoxymethylsulfanyl)methanamine
PC(P)I,[iodo(phosphanyl)methyl]phosphane
CONNOC,"1,2-dimethoxyhydrazine"
CNCCNS,N-[2-(methylamino)ethyl]thiohydroxylamine
N#CCOP,2-phosphanyloxyacetonitrile
CCNNNC,[2-(methylamino)hydrazinyl]ethane
NCCCSO,3-hydroxysulfanylpropan-1-amine
O=COSP,phosphanylsulfanyl formate
CC=PBr,bromo(ethylidene)phosphane
CPOOPC,methyl(methylphosphanylperoxy)phosphane
CP=S=S,methyl-(sulfanylidene-λ4-sulfanylidene)phosphane
ICCSSI,2-iodoethylsulfanyl thiohypoiodite
PNCCNI,"""N-iodo-N-phosphanylethane-1,2-diamine"""
N=PCCI,imino(2-iodoethyl)phosphane
[B-]PC,methylphosphanylboron(1-)
CC#CPC,methyl(prop-1-ynyl)phosphane
CO[Ge],methoxygermanium
CCPSCC,ethyl(ethylsulfanyl)phosphane
C[Sn+],methyltin(1+)
CPCCPC,methyl(2-methylphosphanylethyl)phosphane
C1=NP1,2H-azaphosphirene
CCPC#N,ethylphosphanylformonitrile
CCNCCP,N-ethyl-2-phosphanylethanamine
CP=S=N,(imino-λ4-sulfanylidene)-methylphosphane
CNNCCN,2-(2-methylhydrazinyl)ethanamine
