input, target
CCOC(=O)[C@H](CC(C)C)NC(=O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@H]1Oc4c(OC)ccc5c4[C@@]12CCN(C)[C@@H]3C5, ethyl (2S)-2-[[(1R,2S,6R,14S,15R,16S)-11,15-dimethoxy-5-methyl-13-oxa-5-azahexacyclo[13.2.2.12,8.01,6.02,14.012,20]icosa-8(20),9,11,18-tetraene-16-carbonyl]amino]-4-methylpentanoate
C=CC[C@H]1C(=O)C(C)(C)[C@@H](O)CC(=O)O[C@H](c2ccc3cccnc3c2)C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@@H]1O, (1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-8,8,12,16-tetramethyl-10-prop-2-enyl-3-quinolin-7-yl-4,17-dioxabicyclo[14.1.0]heptadecane-5,9-dione
C=CCN(Cc1ccccc1)C(=O)C1N([C@@H](CO)C(C)C)C(=O)[C@@H]2[C@@H](C(=O)N(CC=C)Cc3ccccc3)[C@H]3CCC12S3, (5S,6S,7R)-2-N,6-N-dibenzyl-3-[(2R)-1-hydroxy-3-methylbutan-2-yl]-4-oxo-2-N,6-N-bis(prop-2-enyl)-10-thia-3-azatricyclo[5.2.1.01,5]decane-2,6-dicarboxamide
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)c(COC(=O)CCCOC(=O)C(C)c3ccc(-c4ccccc4)c(F)c3)n(C3CC3)c12, 1-cyclopropyl-6-fluoro-2-[4-[2-(3-fluoro-4-phenylphenyl)propanoyloxy]butanoyloxymethyl]-8-methoxy-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid
CC[Si](CC)(CC)OCCC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OC(OC(C)=O)[C@H](C)[C@H]1[Si](C)(C)c1ccccc1, [(3S,4R,5S)-5-[(1R)-1-[tert-butyl(dimethyl)silyl]oxy-4-triethylsilyloxybutyl]-4-[dimethyl(phenyl)silyl]-3-methyloxolan-2-yl] acetate
C[C@H]1CCCCO[C@@H](CN(C)C(=O)Cc2ccccc2)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1, 4,4,4-trifluoro-N-[(3S,9R,10R)-12-[(2S)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl-(2-phenylacetyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]butanamide
CC(C)[Si](C#C/C(C#CC#C[Si](C)(C)C)=C(\C#CC#C[Si](C)(C)C)C#C[Si](C(C)C)(C(C)C)C(C)C)(C(C)C)C(C)C, trimethyl-[(E)-10-trimethylsilyl-5,6-bis[2-tri(propan-2-yl)silylethynyl]dec-5-en-1,3,7,9-tetraynyl]silane
COC(=O)Nc1ccc2c(c1)CN(C)C(=O)c1cc(ccc1F)C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1, methyl N-[(3S)-6-chloro-3-[[(E)-3-[5-chloro-2-(tetrazol-1-yl)phenyl]prop-2-enoyl]amino]-18-fluoro-15-methyl-16-oxo-5,15,22-triazatetracyclo[15.3.1.14,7.08,13]docosa-1(21),4(22),6,8(13),9,11,17,19-octaen-11-yl]carbamate
COc1cc([C@H]2C3=CC[C@@H]4C(=O)NC(=O)[C@@H]4[C@@H]3C[C@H]3C(=O)N(c4ccccc4)C(=O)[C@]32C)cc(Cl)c1O, (3aS,6R,6aS,9aR,10aS,10bR)-6-(3-chloro-4-hydroxy-5-methoxyphenyl)-6a-methyl-8-phenyl-4,6,9a,10,10a,10b-hexahydro-3aH-isoindolo[5,6-e]isoindole-1,3,7,9-tetrone
C=C/C=C\C=C1/CC(C2CC=Cc3ccccc32)=c2ccc(/C(=C\C)C[C@@H](C)/C=C(\C)C3CC=NCC3)cc2=C1c1cccc2ccccc12, 4-[(2E,4R,6Z)-6-[(7E)-5-(1,2-dihydronaphthalen-1-yl)-8-naphthalen-1-yl-7-[(2Z)-penta-2,4-dienylidene]-6H-naphthalen-2-yl]-4-methylocta-2,6-dien-2-yl]-2,3,4,5-tetrahydropyridine
C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O[C@H]1CN(C)C(=O)Nc1ccc(C(F)(F)F)cc1, 1-[[(2R,3S)-9-[(4-fluorophenyl)sulfonylamino]-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-2-yl]methyl]-1-methyl-3-[4-(trifluoromethyl)phenyl]urea
NC(CO)SC(=O)NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O, S-(1-amino-2-hydroxyethyl) N-[[(2R,3S,4R,5R,6R)-5-amino-6-[(1R,2R,3S,4R,6S)-4,6-diamino-2,3-dihydroxycyclohexyl]oxy-3,4-dihydroxyoxan-2-yl]methyl]carbamothioate
Cc1cc(C(=O)N[C@@H](CCCc2ccccc2)C(=O)N[C@@H](Cc2ccncc2)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]2(C)CO2)no1, 5-methyl-N-[(2S)-1-[[(2S)-1-[[(2S)-4-methyl-1-[(2R)-2-methyloxiran-2-yl]-1-oxopentan-2-yl]amino]-1-oxo-3-pyridin-4-ylpropan-2-yl]amino]-1-oxo-5-phenylpentan-2-yl]-1,2-oxazole-3-carboxamide
CN=C/C(=C\CC(=O)C(=O)N(CCCc1ccccc1)C(C(=O)N1CCCC1)C(C)C)C(=O)N(CCCc1ccccc1)C(C(=O)N1CCCC1)C(C)C, (E)-2-(methyliminomethyl)-N,N'-bis(3-methyl-1-oxo-1-pyrrolidin-1-ylbutan-2-yl)-5-oxo-N,N'-bis(3-phenylpropyl)hex-2-enediamide
c1ccc2c(c1)-c1ccccc1-c1cccc(-c3cc(-c4ccc5oc6ccccc6c5c4)cc(-n4c5ccccc5c5ccccc54)c3)c1-c1ccccc1-2, 9-(3-dibenzofuran-2-yl-5-tetraphenylen-1-ylphenyl)carbazole
COCc1cc(C(C)(c2cc(COC)c(O)c(COC)c2)c2cc(COC)c(OCOCc3cc(-c4ccccc4)cc(COC)c3O)c(COC)c2)cc(COC)c1O, 2-[[4-[1,1-bis[4-hydroxy-3,5-bis(methoxymethyl)phenyl]ethyl]-2,6-bis(methoxymethyl)phenoxy]methoxymethyl]-6-(methoxymethyl)-4-phenylphenol
