input,target
C1=c2ccc([nH]2)=Cc2ccc([nH]2)C=c2[nH]c(cc2Cc2cc3[nH]c2C=c2cc(Cc4cc5[nH]c4C=c4ccc([nH]4)=Cc4ccc([nH]4)C=c4ccc([nH]4)=C5)c([nH]2)=Cc2cc(Cc4cc5[nH]c4=Cc4ccc([nH]4)C=c4ccc([nH]4)=Cc4ccc([nH]4)C=5)c([nH]2)C=c2cc(Cc4cc5[nH]c4C=c4ccc([nH]4)=Cc4ccc([nH]4)C=c4ccc([nH]4)=C5)c([nH]2)=C3)=Cc2ccc1[nH]2,"2,12-bis(21,22,23,24-tetrahydroporphyrin-2-ylmethyl)-7,17-bis(21,22,23,24-tetrahydroporphyrin-2-ylmethyl)-21,22,23,24-tetrahydroporphyrin"
CC(=O)N[C@H]1CCC(=O)NCCC[C@@H](C(=O)N2CCC[C@H]2C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN(CC(=O)O)CC(=O)O)C(=O)N[C@@H](CCCCNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCCC(=O)O)C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O,"18-[2-[2-[2-[[(5S)-5-[[(2S)-2-[[(2S)-2-[[(2S)-1-[(2S)-1-[(2S,5R,8S,11S,14S,22S)-22-acetamido-5-benzyl-8-(3-carbamimidamidopropyl)-2-(1H-imidazol-5-ylmethyl)-11-(1H-indol-3-ylmethyl)-3,6,9,12,19,23-hexaoxo-1,4,7,10,13,18-hexazacyclotricosane-14-carbonyl]pyrrolidine-2-carbonyl]pyrrolidine-2-carbonyl]amino]-3-carboxypropanoyl]amino]-6-[bis(carboxymethyl)amino]hexanoyl]amino]-6-amino-6-oxohexyl]amino]-2-oxoethoxy]ethoxy]ethylamino]-18-oxooctadecanoic acid"
C=C(C[C@@H]1NC(=O)[C@H](CCCNCN)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)[C@H](CCCC)NC(=O)[C@H](CN(CC(=O)O)CC(=O)O)NC(=O)[C@H](CC(=N)CN)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCc2nnn[nH]2)CCC(=O)NCCCC[C@@H](C(N)=O)NC1=O)c1ccccc1N,"2-[[(2S)-2-[[(2S)-5-amino-2-[[(2S)-5-amino-2-[[(2S)-3-hydroxy-2-[[2-[[2-[2-[2-[16-(1H-tetrazol-5-yl)hexadecanoylamino]ethoxy]ethoxy]acetyl]amino]acetyl]amino]propanoyl]amino]-5-oxopentanoyl]amino]-4-iminopentanoyl]amino]-3-[[(2S)-1-[[(3S,12S,15S,18S,21R,24S,26R)-18-[3-(aminomethylamino)propyl]-15-[2-(2-aminophenyl)prop-2-enyl]-21-benzyl-12-carbamoyl-26-hydroxy-2,6,14,17,20,23-hexaoxo-1,7,13,16,19,22-hexazabicyclo[22.3.0]heptacosan-3-yl]amino]-1-oxohexan-2-yl]amino]-3-oxopropyl]-(carboxymethyl)amino]acetic acid"
C[SiH](C)CO[Si](CC[Si](C)(C)O[Si](CC[Si](C)(C)O[Si](C)(C)CC[Si](O[Si](C)(C)C)(O[Si](C)(C)CC[Si](OC[SiH](C)C)(O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)CC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)CC[Si](OC[SiH](C)C)(O[Si](C)(C)C)O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,bis[[2-[dimethylsilylmethoxy-bis(trimethylsilyloxy)silyl]ethyl-dimethylsilyl]oxy]-[2-[[2-[[2-[dimethylsilylmethoxy-bis(trimethylsilyloxy)silyl]ethyl-dimethylsilyl]oxy-[dimethyl-[2-tris(trimethylsilyloxy)silylethyl]silyl]oxy-trimethylsilyloxysilyl]ethyl-dimethylsilyl]oxy-dimethylsilyl]ethyl]-trimethylsilyloxysilane
CN[C@H](CSCC1O[C@H]2O[C@H]3CC(O)[C@H](OC3CO)O[C@@H]3C(CO)O[C@H](O[C@@H]4C(CO)O[C@H](O[C@@H]5C(CSC[C@@H](CC(=O)CCOCCOCCC(C)=O)C(=O)NCCSSc6ccccn6)O[C@H](O[C@@H]6C(CO)O[C@@H](O[C@@H]7C(CO)O[C@@H](O[C@H]1[C@H](O)C2O)C(O)[C@H]7O)C(O)[C@H]6O)C(O)[C@H]5O)C(O)[C@H]4O)C(O)[C@H]3O)C(=O)NCCSSc1ccccn1,"(2S)-4-oxo-6-[2-(3-oxobutoxy)ethoxy]-N-[2-(pyridin-2-yldisulfanyl)ethyl]-2-[[(1S,3S,6S,8S,11S,13R,16S,18R,21S,23R,26S,28R,31S,33S,36R,38R,42R,44R,46R,48R)-36,37,38,39,41,42,43,44,45,46,47,48,49-tridecahydroxy-5,15,20,25,35-pentakis(hydroxymethyl)-30-[[(2S)-2-(methylamino)-3-oxo-3-[2-(pyridin-2-yldisulfanyl)ethylamino]propyl]sulfanylmethyl]-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontan-10-yl]methylsulfanylmethyl]hexanamide"
O=COCN1C(=O)C(=Cc2ccc3c(c2)Sc2ccccc2N3COc2ccc(C3=c4ccc([nH]4)=C(c4ccc(OCN5c6ccccc6Sc6cc(C=C7SC(=S)N(COC=O)C7=O)ccc65)cc4)c4ccc([nH]4)C(c4ccc(OCN5c6ccccc6Sc6cc(C=C7SC(=S)N(CC(=O)O)C7=O)ccc65)cc4)=c4ccc([nH]4)=C(c4ccc(OCN5c6ccccc6Sc6cc(C=C7SC(=S)N(CC(=O)O)C7=O)ccc65)cc4)c4ccc3[nH]4)cc2)SC1=S,"2-[5-[[10-[[4-[10-[4-[[3-[[3-(carboxymethyl)-4-oxo-2-sulfanylidene-1,3-thiazolidin-5-ylidene]methyl]phenothiazin-10-yl]methoxy]phenyl]-15,20-bis[4-[[3-[[3-(formyloxymethyl)-4-oxo-2-sulfanylidene-1,3-thiazolidin-5-ylidene]methyl]phenothiazin-10-yl]methoxy]phenyl]-21,22,23,24-tetrahydroporphyrin-5-yl]phenoxy]methyl]phenothiazin-3-yl]methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]acetic acid"
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCn1cc([C@H](CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)Nc2ccc(COC(=O)N(CCOC34CC5(C)CC(C)(CC(Cn6ncc(-c7ccc(N8CCc9cccc(C(=O)Nc%10nc%11ccccc%11s%10)c9C8)nc7C(=O)O)c6C)(C5)C3)C4)CCS(=O)(=O)O)c(CC[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c2)C(C)C)N2C(=O)C=CC2=O)nn1,"6-[8-(1,3-benzothiazol-2-ylcarbamoyl)-3,4-dihydro-1H-isoquinolin-2-yl]-3-[1-[[3-[2-[[2-[2-[(2S,3R,4R,5S,6S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]ethyl]-4-[[(2S)-2-[[(2S)-2-[[(3S)-3-(2,5-dioxopyrrol-1-yl)-3-[1-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethyl]triazol-4-yl]propanoyl]amino]-3-methylbutanoyl]amino]propanoyl]amino]phenyl]methoxycarbonyl-(2-sulfoethyl)amino]ethoxy]-5,7-dimethyl-1-adamantyl]methyl]-5-methylpyrazol-4-yl]pyridine-2-carboxylic acid"
CCCC[C@H]1C(=O)N(C)CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cccc3[nH]ccc23)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N(C)CC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)NCC(N)=O)CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C,"2-[(5S,8S,11S,17S,20S,23S,26S,32S,35S,38S,41R)-41-[(2-amino-2-oxoethyl)carbamoyl]-5,8-dibenzyl-11-butyl-26,35-bis[(4-hydroxyphenyl)methyl]-32-(1H-indol-3-ylmethyl)-23-(1H-indol-4-ylmethyl)-7,10,13,28-tetramethyl-38-(2-methylpropyl)-3,6,9,12,15,18,21,24,27,30,33,36,39-tridecaoxo-20-propan-2-yl-1-thia-4,7,10,13,16,19,22,25,28,31,34,37,40-tridecazacyclodotetracont-17-yl]acetic acid"
CCCC[C@H]1C(=O)N(C)[C@@H](CCCC)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)NCC(N)=O)CSCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@H]2C(=O)NC(CC(=O)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CN)C(=O)N[C@@H](CCC(N)=O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCN)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1C,"2-[(1S,10S,13S,16S,22S,25S,28S,31S,34S,37S,40S,43R,49S)-28-(2-aminoethyl)-13-(aminomethyl)-43-[(2-amino-2-oxoethyl)carbamoyl]-16-(3-amino-3-oxopropyl)-34,37-dibutyl-49-[(4-hydroxyphenyl)methyl]-25,31-bis(1H-indol-3-ylmethyl)-33,36,40-trimethyl-2,5,11,14,17,23,26,29,32,35,38,41,47,50-tetradecaoxo-45-thia-3,6,12,15,18,24,27,30,33,36,39,42,48,51-tetradecazatetracyclo[49.3.0.06,10.018,22]tetrapentacontan-4-yl]acetic acid"
CCCC[C@H]1C(=O)N(C)[C@@H](CCCC)C(=O)N[C@@H](CN)C(=O)N[C@H](C(=O)NCC(N)=O)CSCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@H]2C(=O)NC(CC(=O)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CN)C(=O)N[C@@H](CC(=O)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCN)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1C,"2-[(1S,10S,13S,16S,22S,25S,28S,31S,34S,37S,40S,43R,49S)-28-(2-aminoethyl)-13,40-bis(aminomethyl)-43-[(2-amino-2-oxoethyl)carbamoyl]-34,37-dibutyl-16-(carboxymethyl)-49-[(4-hydroxyphenyl)methyl]-25,31-bis(1H-indol-3-ylmethyl)-33,36-dimethyl-2,5,11,14,17,23,26,29,32,35,38,41,47,50-tetradecaoxo-45-thia-3,6,12,15,18,24,27,30,33,36,39,42,48,51-tetradecazatetracyclo[49.3.0.06,10.018,22]tetrapentacontan-4-yl]acetic acid"
