input, target
C#Cc1ccc(CCCCCCCC)o1, 2-ethynyl-5-octylfuran
CCC(N)CCNC(=O)NC(C)C, 1-(3-aminopentyl)-3-propan-2-ylurea
Fc1csc2c(I)c(I)ccc12, 3-fluoro-6,7-diiodo-1-benzothiophene
CCCOc1c(F)cc(OC)cc1F, 1,3-difluoro-5-methoxy-2-propoxybenzene
NC(=O)C1CCc2ncccc2C1, 5,6,7,8-tetrahydroquinoline-6-carboxamide
C/C=C(\C)P(=O)(OC)OC, (E)-2-dimethoxyphosphorylbut-2-ene
C=C(N)/C(=C\C=C/C)CN, (2Z)-2-[(Z)-but-2-enylidene]but-3-ene-1,3-diamine
C=C(COC)C1(OC)CCCCC1, 1-methoxy-1-(3-methoxyprop-1-en-2-yl)cyclohexane
Clc1ncccc1CSc1ccncn1, 4-[(2-chloropyridin-3-yl)methylsulfanyl]pyrimidine
CCC(C)(O)CSc1ccccc1N, 1-(2-aminophenyl)sulfanyl-2-methylbutan-2-ol
CC1CCCCC1n1cnc(CO)c1, [1-(2-methylcyclohexyl)imidazol-4-yl]methanol
CC(=O)N(C)[C@@H](C)N, N-[(1S)-1-aminoethyl]-N-methylacetamide
CCNC(CC)Cc1ccc(C)cn1, N-ethyl-1-(5-methylpyridin-2-yl)butan-2-amine
Nc1cnc(NC2CCSCC2)cn1, 2-N-(thian-4-yl)pyrazine-2,5-diamine
Cc1cc(C)cc(C(=O)S)c1, 3,5-dimethylbenzenecarbothioic S-acid
C#CCCNC1CC(=O)N(C)C1, 4-(but-3-ynylamino)-1-methylpyrrolidin-2-one
CC=CC(C)CCC(C)(C)CCC, 4,7,7-trimethyldec-2-ene
CNC(=O)CN1CCCCC(F)C1, 2-(3-fluoroazepan-1-yl)-N-methylacetamide
Cc1cc(NCC2CC2)ncc1Br, 5-bromo-N-(cyclopropylmethyl)-4-methylpyridin-2-amine
Cc1c(Br)cnc(Cl)c1C#N, 5-bromo-2-chloro-4-methylpyridine-3-carbonitrile
CCCCCCCC(N)CC1CCOCC1, 1-(oxan-4-yl)nonan-2-amine
Fc1c(I)cnc(I)c1C(F)F, 3-(difluoromethyl)-4-fluoro-2,5-diiodopyridine
COc1cc(CCl)cc(C)c1OC, 5-(chloromethyl)-1,2-dimethoxy-3-methylbenzene
CCCC(CC)NCCCCc1nccs1, N-[4-(1,3-thiazol-2-yl)butyl]hexan-3-amine
C=NN(C(N)=S)c1ccccc1, 1-(methylideneamino)-1-phenylthiourea
CC(C)(Br)c1ccc(I)cc1, 1-(2-bromopropan-2-yl)-4-iodobenzene
C=C1CCC2C(=C)CCCC2C1, 4,7-dimethylidene-1,2,3,4a,5,6,8,8a-octahydronaphthalene
CSCCCCNS(=O)(=O)CC#N, 1-cyano-N-(4-methylsulfanylbutyl)methanesulfonamide
CCC12CC(C)[N+]1(C)C2, 4-ethyl-1,2-dimethyl-1-azoniabicyclo[2.1.0]pentane
CCSCCc1nc(C)n(CC)c1N, 3-ethyl-5-(2-ethylsulfanylethyl)-2-methylimidazol-4-amine
CC(N)C(C)N1CCCCCCCC1, 3-(azonan-1-yl)butan-2-amine
COC[C@H](I)Cc1ccccc1, [(2R)-2-iodo-3-methoxypropyl]benzene
O=C1NCC(CO)Cn2ncnc21, 6-(hydroxymethyl)-5,6,7,8-tetrahydro-[1,2,4]triazolo[1,5-a][1,4]diazepin-9-one
Nc1cnc(C(F)F)c(Cl)c1, 5-chloro-6-(difluoromethyl)pyridin-3-amine
CC(C)NC(CN)CC1CCCCC1, 3-cyclohexyl-2-N-propan-2-ylpropane-1,2-diamine
C/C=C/C(=O)N(C)CCC=O, (E)-N-methyl-N-(3-oxopropyl)but-2-enamide
CC1CCC(NN=CC2CC2)CC1, N-(cyclopropylmethylideneamino)-4-methylcyclohexan-1-amine
COc1cnc(Cl)nc1C(=O)O, 2-chloro-5-methoxypyrimidine-4-carboxylic acid
Cn1ccc(NCC2=CCCC2)n1, N-(cyclopenten-1-ylmethyl)-1-methylpyrazol-3-amine
CCC(CC)CNc1ccc(N)cc1, 4-N-(2-ethylbutyl)benzene-1,4-diamine
CC1(C)CCC2(CC1)CC2CN, (6,6-dimethylspiro[2.5]octan-2-yl)methanamine
S=C1COc2c(Cl)cccc2N1, 8-chloro-4H-1,4-benzoxazine-3-thione
COCCCOC(=O)CCC(O)COC, 3-methoxypropyl 4-hydroxy-5-methoxypentanoate
CC(F)(F)CNc1ncncc1Br, 5-bromo-N-(2,2-difluoropropyl)pyrimidin-4-amine
CCCNC(CSCCC)c1sccc1C, N-[1-(3-methylthiophen-2-yl)-2-propylsulfanylethyl]propan-1-amine
CCCCC(C)NC(C)c1ccco1, N-[1-(furan-2-yl)ethyl]hexan-2-amine
N#Cc1cccc(C(=O)O)c1O, 3-cyano-2-hydroxybenzoic acid
Clc1ccc(C2=CSCN2)cc1, 4-(4-chlorophenyl)-2,3-dihydro-1,3-thiazole
CC1=C(O)C(O)CC(O)C1O, 3-methylcyclohex-2-ene-1,2,4,5-tetrol
CCCc1ccc(CCCCC#N)cc1, 5-(4-propylphenyl)pentanenitrile
BrC1CC1c1ccc2sccc2n1, 5-(2-bromocyclopropyl)thieno[3,2-b]pyridine
C=Cc1cc(OC)cc(OCC)c1, 1-ethenyl-3-ethoxy-5-methoxybenzene
CCc1ncsc1NC(=O)C1CC1, N-(4-ethyl-1,3-thiazol-5-yl)cyclopropanecarboxamide
Cn1ccnc(NC2CCC2)c1=O, 3-(cyclobutylamino)-1-methylpyrazin-2-one
N#CC(CNCCCO)c1ccccc1, 3-(3-hydroxypropylamino)-2-phenylpropanenitrile
Cn1nc(CNC2CCCC2)cc1N, 5-[(cyclopentylamino)methyl]-2-methylpyrazol-3-amine
CCCOCCOC(CN)c1ccncc1, 2-(2-propoxyethoxy)-2-pyridin-4-ylethanamine
CN(C)C(CO)c1ccc[nH]1, 2-(dimethylamino)-2-(1H-pyrrol-2-yl)ethanol
O=C[C@H]1CCC2(CC2)O1, (5R)-4-oxaspiro[2.4]heptane-5-carbaldehyde
CC(C)CC1CCCC1N(C)CCO, 2-[methyl-[2-(2-methylpropyl)cyclopentyl]amino]ethanol
[C-]#[N+]c1ccccc1OCC, 1-ethoxy-2-isocyanobenzene
O=C(CC1CCCO1)NC1COC1, N-(oxetan-3-yl)-2-(oxolan-2-yl)acetamide
CC(=S)CC(=O)C(F)(F)F, 1,1,1-trifluoro-4-sulfanylidenepentan-2-one
NC(Cc1cccs1)c1sccc1I, 1-(3-iodothiophen-2-yl)-2-thiophen-2-ylethanamine
Cc1noc2c1=CCC(=N)C=2, 3-methyl-5H-1,2-benzoxazol-6-imine
OCCN(CCO)CCCN1CCCCC1, 2-[2-hydroxyethyl(3-piperidin-1-ylpropyl)amino]ethanol
CC(=O)CC[C@@H]1CCCN1, 4-[(2S)-pyrrolidin-2-yl]butan-2-one
C/[P+](Cl)=N\P(Cl)Cl, (E)-chloro-dichlorophosphanylimino-methylphosphanium
Nc1cncnc1NC1CC2CC2C1, 4-N-(3-bicyclo[3.1.0]hexanyl)pyrimidine-4,5-diamine
Oc1ccc(-c2cccs2)cc1F, 2-fluoro-4-thiophen-2-ylphenol
COc1sc2cc(Br)ccc2c1O, 6-bromo-2-methoxy-1-benzothiophen-3-ol
COc1cccc(CC2CCCO2)c1, 2-[(3-methoxyphenyl)methyl]oxolane
NC(CCc1cccs1)C1CCCS1, 1-(thiolan-2-yl)-3-thiophen-2-ylpropan-1-amine
CCn1nncc1C(N)C1CCCC1, cyclopentyl-(3-ethyltriazol-4-yl)methanamine
S=C(C1CNCCO1)N1CCCC1, morpholin-2-yl(pyrrolidin-1-yl)methanethione
NNc1ccc(-n2cccn2)nn1, (6-pyrazol-1-ylpyridazin-3-yl)hydrazine
CC1C2CCCCC2NC2CNCC21, 9-methyl-2,3,3a,4,4a,5,6,7,8,8a,9,9a-dodecahydro-1H-pyrrolo[3,4-b]quinoline
OB(O)c1cscc1C(F)(F)F, [4-(trifluoromethyl)thiophen-3-yl]boronic acid
NN(Br)c1ccc(Br)cc1Br, 1-bromo-1-(2,4-dibromophenyl)hydrazine
CCn1ncc(Br)c1CCC(C)O, 4-(4-bromo-2-ethylpyrazol-3-yl)butan-2-ol
C[C@@H]1SCC(=O)OC1=O, (3S)-3-methyl-1,4-oxathiane-2,6-dione
CC(=O)NC1C=CC2CCC1C2, N-(2-bicyclo[3.2.1]oct-3-enyl)acetamide
CCCCCC(C)n1ncc(I)c1N, 2-heptan-2-yl-4-iodopyrazol-3-amine
Fc1cc(S)c(C(F)F)cc1F, 2-(difluoromethyl)-4,5-difluorobenzenethiol
CC(=O)C1CCCc2ccccc21, 1-(1,2,3,4-tetrahydronaphthalen-1-yl)ethanone
CCC/C=C/O[Si](C)(C)C, trimethyl-[(E)-pent-1-enoxy]silane
Cn1cc(CC2(O)CSC2)nn1, 3-[(1-methyltriazol-4-yl)methyl]thietan-3-ol
COCCCNCc1cnn2ccccc12, 3-methoxy-N-(pyrazolo[1,5-a]pyridin-3-ylmethyl)propan-1-amine
CC1CN(CCOCCO)CC(C)N1, 2-[2-(3,5-dimethylpiperazin-1-yl)ethoxy]ethanol
NC(CCCl)c1ccc(Cl)cc1, 3-chloro-1-(4-chlorophenyl)propan-1-amine
